n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,ge_0p01_pct
1,0.0,100,0.0,0.0,1.53,0.0
8,1.2044,100,0.0,0.0,2.01,0.0
64,3.1745,100,0.0,0.0,1.91,0.0
-1,,100,0.4428,1.0,,78.0
