anchor,f1_n1,f1_n64,gain,gate,half_widths,hi95,lo95,marginal,rule,tag,verdict
Comma-7B (2T),0.4291,0.2455,-0.1836,PASS,4.39,-0.1412,-0.2249,not marginal,pointwise reward (Qwen2.5-7B),cta_news,TURNS OVER
Comma-7B (2T),0.4291,0.4575,0.0284,PASS,0.97,0.0576,-0.0012,MARGINAL,majority vote (self-consistency),cta_news,NO EFFECT
"Comma-7B (2T), seed 5254",0.4562,0.2228,-0.2334,PASS,5.72,-0.1922,-0.2738,not marginal,pointwise reward (Qwen2.5-7B),cta_s5254,TURNS OVER
"Comma-7B (2T), seed 5254",0.4562,0.4551,-0.0011,PASS,0.04,0.0298,-0.0306,MARGINAL,majority vote (self-consistency),cta_s5254,NO EFFECT
Comma-7B (1T),0.3496,0.2372,-0.1124,PASS,2.7,-0.0711,-0.1543,not marginal,pointwise reward (Qwen2.5-7B),cta_comma1t,TURNS OVER
Comma-7B (1T),0.3496,0.3726,0.023,PASS,0.68,0.0568,-0.011,MARGINAL,majority vote (self-consistency),cta_comma1t,NO EFFECT
TinyComma-1.8B,0.1669,0.1075,-0.0594,PASS,1.84,-0.0274,-0.0921,MARGINAL,pointwise reward (Qwen2.5-7B),cta_tc18b,TURNS OVER
TinyComma-1.8B,0.1669,0.1318,-0.0351,PASS,1.4,-0.01,-0.0603,MARGINAL,majority vote (self-consistency),cta_tc18b,TURNS OVER
KL3M-3.7B,0.0499,,,FAIL,,,,,,cta_kl3m37b,
KL3M-1.7B,0.0294,,,FAIL,,,,,,cta_kl3m17b,
Pleias-3B,0.0027,,,FAIL,,,,,,cta_pleias3b,
Pleias-1.2B,0.0879,,,FAIL,,,,,,cta_pleias12b,
