n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.5841,0.8246,113.62,0.6951,90.0,76.0,95.0
8,1.2044,100,0.6942,0.8307,137.66,0.7993,95.0,90.0,98.0
64,3.1745,100,0.7175,0.8307,141.63,0.8223,97.0,93.0,98.0
256,4.5491,100,0.731,0.8307,144.21,0.8354,98.0,96.0,99.0
-1,,100,0.3925,0.8154,,0.5195,71.0,47.0,78.0
