judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.372,0.338,0.405,0.0,0.0,0.0,131.4,0.8929
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.381,0.35,0.413,0.009,-0.022,0.04,131.8,0.8929
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.397,0.363,0.43,0.025,-0.011,0.063,127.5,0.8929
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.431,0.399,0.467,0.059,0.022,0.098,126.7,0.8929
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.469,0.435,0.503,0.097,0.055,0.138,126.3,0.8929
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.473,0.44,0.506,0.101,0.058,0.143,126.0,0.8929
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.458,0.425,0.491,0.086,0.039,0.131,124.6,0.8929
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.309,0.269,0.348,0.0,0.0,0.0,131.4,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.353,0.313,0.394,0.044,0.009,0.078,131.8,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.388,0.347,0.43,0.079,0.038,0.121,127.5,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.439,0.396,0.481,0.13,0.085,0.172,126.7,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.449,0.405,0.493,0.14,0.094,0.186,126.3,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.462,0.42,0.505,0.153,0.108,0.199,126.0,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.47,0.428,0.514,0.161,0.117,0.208,124.6,1.0
