n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.4569,0.6093,92.88,0.6227,95.0,88.0,96.0
8,1.2044,100,0.4993,0.6093,101.53,0.6634,100.0,99.0,100.0
64,3.1745,100,0.4991,0.6093,99.88,0.6631,100.0,99.0,100.0
256,4.5491,100,0.5007,0.6093,99.85,0.6651,100.0,100.0,100.0
-1,,100,0.3925,0.8154,,0.5195,71.0,47.0,78.0
