k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.0725,99.02,,,
0.5,100,0,0,0.0,0.2705,9.63,,,
1,100,0,0,0.0,0.4046,2.41,,,
3,100,3.0,47.0,0.9315,0.9795,0.62,,,
5,100,72.0,81.0,0.999,0.9993,0.28,,,
10,100,98.0,100,1.0,1.0,0.02,,,
20,100,100,100,1.0,1.0,0,,,
