k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.1591,8.84,,,
0.5,100,0,0,0.0,0.2751,4.54,,,
1,100,0,0,0.0,0.3901,2.83,,,
3,100,0,12.0,0.4318,0.8452,0.96,,,
5,100,28.0,59.0,0.98,0.9932,0.44,,,
10,100,87.0,93.0,0.9993,0.9994,0.14,,,
20,100,100,100,1.0,1.0,0,,,
