point,run,n_grid,k_minus1_recall,k_zero_recall,entered,s_x,onset_lo,onset_hi,onset,ratio,grid
epochs=10,output/phase5/fineb_pleias_e10,14,0.547,0.0,True,3.0481,2.5,2.7,2.6692,0.8757,1.2:0.000 1.6:0.000 1.9:0.000 2.1:0.000 2.3:0.000 2.5:0.006 2.7:0.011 2.9:0.003 3.2:0.017 3.6:0.018 4.2:0.063 4.6:0.070 5.3:0.072 6.6:0.143
epochs=20,output/phase5/fineb_pleias_e20,14,0.2269,0.0,True,3.0481,3.6,4.2,4.106,1.3471,1.2:0.000 1.6:0.000 1.9:0.000 2.1:0.000 2.3:0.000 2.5:0.001 2.7:0.004 2.9:0.004 3.2:0.009 3.6:0.003 4.2:0.011 4.6:0.015 5.3:0.025 6.6:0.052
epochs=30,output/phase5/fineb_pleias_e30,14,0.9149,0.0,True,3.0481,2.9,3.2,2.9233,0.9591,1.2:0.000 1.6:0.000 1.9:0.000 2.1:0.005 2.3:0.004 2.5:0.002 2.7:0.002 2.9:0.005 3.2:0.067 3.6:0.097 4.2:0.141 4.6:0.149 5.3:0.217 6.6:0.312
epochs=40 (feat-120),output/phase5/fineb_pleias12b_full,14,0.1504,0.0,True,3.0481,3.6,4.2,4.0071,1.3146,1.2:0.000 1.6:0.000 1.9:0.000 2.1:0.000 2.3:0.000 2.5:0.001 2.7:0.001 2.9:0.000 3.2:0.006 3.6:0.006 4.2:0.012 4.6:0.026 5.3:0.031 6.6:0.040
seed=1,output/phase5/fineb_pleias_s1,14,0.1581,0.0,True,3.0481,3.2,3.6,3.2154,1.0549,1.2:0.000 1.6:0.000 1.9:0.000 2.1:0.000 2.3:0.000 2.5:0.000 2.7:0.000 2.9:0.000 3.2:0.010 3.6:0.020 4.2:0.051 4.6:0.047 5.3:0.053 6.6:0.072
seed=2,output/phase5/fineb_pleias_s2,14,0.2045,0.0,True,3.0481,3.2,3.6,3.239,1.0626,1.2:0.000 1.6:0.000 1.9:0.000 2.1:0.002 2.3:0.002 2.5:0.002 2.7:0.002 2.9:0.002 3.2:0.010 3.6:0.014 4.2:0.032 4.6:0.034 5.3:0.038 6.6:0.059
