pair,mode,L,s_x_nats_per_token,onset_lo,onset_hi,onset_est,onset_est_over_s,grid
TinyComma-1.8B + memorised Llama-3.1-8B,single,0,3.2386,2.6,3.2,2.872727272727273,0.8870275034667057,1.5:0.000 2:0.000 2.6:0.000 3.2:0.022 3.8:0.053 4.5:0.075
TinyComma-1.8B + memorised Llama-3.1-8B,oracle,50,3.2386,2.0,2.6,2.05010989010989,0.6330234947538721,1.5:0.002 2:0.006 2.6:0.052 3.2:0.120 3.8:0.157 4.5:0.194
Comma-7B + memorised Comma-7B,single,0,2.3935,2.0,2.4,2.134,0.8915813662001253,1.5:0.000 2:0.003 2.4:0.023 2.8:0.034 3.2:0.055 4:0.108
Comma-7B + memorised Comma-7B,oracle,50,2.3935,1.5,2.0,1.5726495726495726,0.6570501661372771,1.5:0.007 2:0.030 2.4:0.077 2.8:0.127 3.2:0.167 4:0.229
Pleias-350M + mem. Pleias-350M,single,0,3.5543500000000003,3.1,3.2,3.179646017699115,0.8945787605888882,2.2:0.000 2.6:0.000 2.8:0.000 2.9:0.000 3:0.003 3.1:0.001 3.2:0.012 3.3:0.010 3.6:0.010 4.2:0.040
Pleias-350M + mem. Pleias-350M,oracle,50,3.5543500000000003,2.2,2.6,2.4729411764705884,0.695750608823157,2.2:0.004 2.6:0.013 2.8:0.021 2.9:0.023 3:0.032 3.1:0.037 3.2:0.049 3.3:0.055 3.6:0.067 4.2:0.126
Pleias-1.2B + mem. Pleias-1.2B,single,0,3.2094,2.8,2.9,2.819047619047619,0.878372162724378,2:0.002 2.4:0.003 2.6:0.004 2.7:0.004 2.8:0.008 2.9:0.020 3:0.035 3.2:0.044 3.6:0.071
Pleias-1.2B + mem. Pleias-1.2B,oracle,50,3.2094,2.0,2.4,2.025531914893617,0.6311247943209375,2:0.009 2.4:0.028 2.6:0.049 2.7:0.053 2.8:0.074 2.9:0.086 3:0.100 3.2:0.120 3.6:0.158
KL3M-1.7B + mem. KL3M-1.7B,single,0,2.2112,2.5,2.6,2.578,1.1658827785817656,1:0.000 1.2:0.000 1.3:0.000 1.4:0.000 1.5:0.000 1.6:0.000 1.8:0.000 2:0.001 2.2:0.001 2.3:0.001 2.4:0.002 2.5:0.002 2.6:0.012 2.8:0.014 3:0.025 3.2:0.035 3.5:0.048 4:0.088 5:0.155
KL3M-1.7B + mem. KL3M-1.7B,oracle,50,2.2112,2.2,2.6,2.513846153846154,1.1368696426583549,1:0.000 1.2:0.000 1.3:0.000 1.4:0.000 1.5:0.000 1.6:0.001 1.8:0.001 2:0.003 2.2:0.005 2.6:0.011 3.2:0.023
KL3M-520M + mem. KL3M-520M,single,0,2.4147499999999997,2.4,2.6,2.5428571428571427,1.053051927883691,1.6:0.000 1.8:0.000 2:0.000 2.1:0.000 2.2:0.000 2.3:0.000 2.4:0.000 2.6:0.014 2.8:0.026 3:0.035 3.4:0.076
KL3M-520M + mem. KL3M-520M,oracle,50,2.4147499999999997,2.6,2.8,2.7083333333333335,1.1215791834903546,1.6:0.001 1.8:0.000 2:0.000 2.1:0.000 2.2:0.000 2.3:0.000 2.4:0.002 2.6:0.009 2.8:0.011 3:0.014 3.4:0.021
Phi-3.5-mini + mem. Phi-3.5-mini,single,0,2.8374,2.6,2.7,2.6276785714285715,0.9260867595082016,1.8:0.000 2.1:0.001 2.3:0.005 2.4:0.004 2.5:0.004 2.6:0.007 2.7:0.018 2.8:0.024 2.9:0.026 3:0.026 3.2:0.042 3.5:0.075 4:0.100
Phi-3.5-mini + mem. Phi-3.5-mini,oracle,50,2.8374,,,,,
open-calm-1b + mem. open-calm-1b,single,0,3.3628,3.36,3.53,3.452391304347826,1.0266418771106893,1.85:0.000 2.19:0.000 2.52:0.000 2.86:0.000 3.03:0.000 3.19:0.001 3.36:0.007 3.53:0.012 3.87:0.011 4.37:0.020 5.21:0.027 6:0.029 7:0.042 8:0.070
open-calm-1b + mem. open-calm-1b,oracle,50,3.3628,,,,,
