k,steps_active,steps_total,n_trajectories,activity,abs_dist_to_target
0.1,66924,96998,500,0.68995237,0.60987237
0.3,74069,98943,500,0.74860273,0.66852273
1.0,4764,100000,500,0.04764,0.03244
3.0,170,99835,500,0.00170281,0.07837719
10.0,8,100000,500,8e-05,0.08
