k,steps_active,steps_total,n_trajectories,activity,abs_dist_to_target
0.1,60897,89657,500,0.67922192,0.59914192
0.3,60567,94119,500,0.64351512,0.56343512
1.0,3654,98092,500,0.03725074,0.04282926
3.0,175,99419,500,0.00176023,0.07831977
10.0,43,100000,500,0.00043,0.07965
