band,quantity,value,lo95,hi95,reading,n
G0,"k=0.1: 500 prompts, every record at 0.7 / 1.1",1.0,,,PASS,500
G1,k=0.1: largest realised spend against K = 80,74.8952,,,PASS,500
desc,k=0.1: mean share of byte steps at which the constraint binds,0.3302,,,,500
G0,"k=1e-06: 500 prompts, every record at 0.7 / 1.1",1.0,,,PASS,500
G1',"k=1e-6: the anchor served at every byte (forced steps == bytes, every record)",1.0,,,PASS,500
G1,k=1e-06: largest realised spend against K = 0.0008,0.0,,,PASS,500
desc,k=1e-06: mean share of byte steps at which the constraint binds,0.868,,,,500
G2,selection's levels equal feat-195 J1's,500,,,PASS,500
A1,the meter's gain over its own anchor at k=0.1 (D2),0.008,-0.008,0.0245,DISSOLVES,500
desc,TinyComma selection's gain minus the meter's (D3),0.099,0.068,0.129,REVERSAL CONFIRMED,500
desc,"S_w under Comma-7B at 0.7/1.1 (the audited 50-token window rescaled per character, 758 works); K/S_w at k=0.1",155.34,,,K/S_w 0.515,758
desc,"S_w under Comma-7B at 1.0, the same construction on the same 758 works; K/S_w at k=0.1",140.71,,,K/S_w 0.569,758
posthoc,k=0.1: binding share pooled over bytes (results/anchoredbyte.csv's construction),0.2292,,,,500
posthoc,k=0.1: forced share pooled over bytes,0.141,,,,500
posthoc,k=0.1: records with no generated byte,66,,,,500
posthoc,k=1e-06: binding share pooled over bytes (results/anchoredbyte.csv's construction),1.0,,,,500
posthoc,k=1e-06: forced share pooled over bytes,1.0,,,,500
posthoc,k=1e-06: records with no generated byte,66,,,,500
posthoc,"prompts where the meter and its control serve identical text, judged differently",5,,,,140
