n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.2868,0.4145,58.46,0.4497,86.0,58.0,92.0
8,1.2044,100,0.3521,0.4145,71.53,0.52,99.0,85.0,99.0
64,3.1745,100,0.3563,0.4145,71.85,0.5241,100.0,87.0,100.0
256,4.5491,100,0.3549,0.4145,70.78,0.5237,100.0,87.0,100.0
-1,,100,0.4209,0.8307,,0.5533,75.0,55.0,81.0
