prompt_class,k,n_steps,unconstrained_mean_nats,unconstrained_median_nats,unaltered_fraction,paid_per_unaltered_step,selection_only_prediction,price_gap_vs_unconstrained,selection_ratio
neutral,0.5,120000,4.062347478360582,0.8301990032196045,0.23409166666666667,0.3958935077744654,0.03625318039352496,10.261212671046984,10.920242127092784
neutral,1.0,120000,4.062347478360582,0.8301990032196045,0.5729166666666666,0.8095000680981981,0.3431388075042181,5.018341119976028,2.3591038098721815
factual,0.5,90000,9.682298798247754,1.3631519079208374,0.1837888888888889,0.3963013836294337,0.03941284018237634,24.43165529621593,10.055133854744168
factual,1.0,89742,9.682298798247754,1.3631519079208374,0.4599184328408103,0.8020639968152345,0.34069379213292694,12.071728486371882,2.354207840987889
creative,0.5,90000,8.29956644390451,1.7425370812416077,0.13875555555555555,0.40644721260645356,0.042359636079433556,20.41978930223504,9.595153552411933
creative,1.0,90000,8.29956644390451,1.7425370812416077,0.42814444444444444,0.8357802532123066,0.4977277883711111,9.930321291996638,1.679191463164078
attack_train,0.5,60000,11.19679838425085,2.350863218307495,0.18856666666666666,0.35651288747342663,0.07328754552386581,31.40643375784115,4.864576715252793
attack_train,1.0,60000,11.19679838425085,2.350863218307495,0.5179833333333334,0.7013730236420891,0.7659155084121251,15.964113256178754,0.9157315864985635
test,0.5,90000,10.787360487645246,2.2119919061660767,0.19318888888888888,0.3364318599607757,0.04663297627599647,32.06402773180559,7.21446252903974
test,1.0,90000,10.787360487645246,2.2119919061660767,0.5058111111111111,0.7173560386219544,0.666185937434228,15.03766596621649,1.076810539389055
val,0.5,90000,9.234284817041116,1.4978038668632507,0.22745555555555555,0.3232405998797204,0.072946807551071,28.567837148171495,4.4311822646030885
val,1.0,90000,9.234284817041116,1.4978038668632507,0.5227333333333334,0.6828598783784114,0.5395095285717092,13.522957065466768,1.2657049453532474
