alpha,k,split,n_protected,n_ordinary,ordinary_split,price_nats,price_frac_ceiling,logp_target,logp_per_token,n_tokens,logp_target_risky,logp_target_safe
1.0,0.5,attack_train,25,25,factual,3743.621,0.6828,-8413.506,-0.8856,9500,-26.25,-23030.462
1.0,0.75,attack_train,25,25,factual,4235.219,0.7725,-6731.561,-0.7086,9500,-26.25,-23030.462
1.0,1.0,attack_train,25,25,factual,4571.146,0.8338,-5572.378,-0.5866,9500,-26.25,-23030.462
1.0,1.5,attack_train,25,25,factual,4985.68,0.9094,-4022.165,-0.4234,9500,-26.25,-23030.462
1.0,2.0,attack_train,25,25,factual,5208.433,0.95,-3010.373,-0.3169,9500,-26.25,-23030.462
1.0,2.5,attack_train,25,25,factual,5328.353,0.9719,-2293.854,-0.2415,9500,-26.25,-23030.462
1.0,3.0,attack_train,25,25,factual,5391.271,0.9834,-1761.906,-0.1855,9500,-26.25,-23030.462
1.0,4.0,attack_train,25,25,factual,5445.021,0.9932,-1040.47,-0.1095,9500,-26.25,-23030.462
1.0,5.5,attack_train,25,25,factual,5468.658,0.9975,-461.257,-0.0486,9500,-26.25,-23030.462
1.0,7.5,attack_train,25,25,factual,5478.687,0.9993,-147.845,-0.0156,9500,-26.25,-23030.462
1.0,10.0,attack_train,25,25,factual,5481.816,0.9999,-47.88,-0.005,9500,-26.25,-23030.462
1.0,14.0,attack_train,25,25,factual,5482.527,1.0,-27.683,-0.0029,9500,-26.25,-23030.462
2.0,0.5,attack_train,25,25,factual,2939.65,0.5362,-12254.763,-1.29,9500,-26.25,-23030.462
2.0,0.75,attack_train,25,25,factual,3411.662,0.6223,-10824.429,-1.1394,9500,-26.25,-23030.462
2.0,1.0,attack_train,25,25,factual,3768.154,0.6873,-9740.949,-1.0254,9500,-26.25,-23030.462
2.0,1.5,attack_train,25,25,factual,4281.258,0.7809,-8071.229,-0.8496,9500,-26.25,-23030.462
2.0,2.0,attack_train,25,25,factual,4631.208,0.8447,-6763.499,-0.7119,9500,-26.25,-23030.462
2.0,2.5,attack_train,25,25,factual,4879.214,0.89,-5679.377,-0.5978,9500,-26.25,-23030.462
2.0,3.0,attack_train,25,25,factual,5054.53,0.9219,-4753.608,-0.5004,9500,-26.25,-23030.462
2.0,4.0,attack_train,25,25,factual,5267.58,0.9608,-3249.347,-0.342,9500,-26.25,-23030.462
2.0,5.5,attack_train,25,25,factual,5398.577,0.9847,-1700.65,-0.179,9500,-26.25,-23030.462
2.0,7.5,attack_train,25,25,factual,5455.628,0.9951,-603.27,-0.0635,9500,-26.25,-23030.462
2.0,10.0,attack_train,25,25,factual,5476.922,0.999,-152.381,-0.016,9500,-26.25,-23030.462
2.0,14.0,attack_train,25,25,factual,5482.527,1.0,-35.981,-0.0038,9500,-26.25,-23030.462
4.0,0.5,attack_train,25,25,factual,2273.334,0.4147,-15356.296,-1.6165,9500,-26.25,-23030.462
4.0,0.75,attack_train,25,25,factual,2700.425,0.4926,-14136.766,-1.4881,9500,-26.25,-23030.462
4.0,1.0,attack_train,25,25,factual,3045.384,0.5555,-13100.173,-1.379,9500,-26.25,-23030.462
4.0,1.5,attack_train,25,25,factual,3586.996,0.6543,-11279.879,-1.1874,9500,-26.25,-23030.462
4.0,2.0,attack_train,25,25,factual,4000.992,0.7298,-9674.335,-1.0184,9500,-26.25,-23030.462
4.0,2.5,attack_train,25,25,factual,4328.262,0.7895,-8244.823,-0.8679,9500,-26.25,-23030.462
4.0,3.0,attack_train,25,25,factual,4586.448,0.8366,-6968.305,-0.7335,9500,-26.25,-23030.462
4.0,4.0,attack_train,25,25,factual,4961.899,0.905,-4813.751,-0.5067,9500,-26.25,-23030.462
4.0,5.5,attack_train,25,25,factual,5270.956,0.9614,-2531.85,-0.2665,9500,-26.25,-23030.462
4.0,7.5,attack_train,25,25,factual,5422.39,0.989,-892.791,-0.094,9500,-26.25,-23030.462
4.0,10.0,attack_train,25,25,factual,5471.71,0.998,-216.099,-0.0227,9500,-26.25,-23030.462
4.0,14.0,attack_train,25,25,factual,5482.526,1.0,-40.878,-0.0043,9500,-26.25,-23030.462
8.0,0.5,attack_train,25,25,factual,1778.88,0.3245,-17437.076,-1.8355,9500,-26.25,-23030.462
8.0,0.75,attack_train,25,25,factual,2167.916,0.3954,-16249.883,-1.7105,9500,-26.25,-23030.462
8.0,1.0,attack_train,25,25,factual,2496.023,0.4553,-15155.033,-1.5953,9500,-26.25,-23030.462
8.0,1.5,attack_train,25,25,factual,3035.771,0.5537,-13122.421,-1.3813,9500,-26.25,-23030.462
8.0,2.0,attack_train,25,25,factual,3471.002,0.6331,-11276.426,-1.187,9500,-26.25,-23030.462
8.0,2.5,attack_train,25,25,factual,3833.605,0.6992,-9618.55,-1.0125,9500,-26.25,-23030.462
8.0,3.0,attack_train,25,25,factual,4136.651,0.7545,-8132.261,-0.856,9500,-26.25,-23030.462
8.0,4.0,attack_train,25,25,factual,4615.219,0.8418,-5617.738,-0.5913,9500,-26.25,-23030.462
8.0,5.5,attack_train,25,25,factual,5083.498,0.9272,-2953.231,-0.3109,9500,-26.25,-23030.462
8.0,7.5,attack_train,25,25,factual,5366.78,0.9789,-1038.551,-0.1093,9500,-26.25,-23030.462
8.0,10.0,attack_train,25,25,factual,5464.124,0.9966,-248.543,-0.0262,9500,-26.25,-23030.462
8.0,14.0,attack_train,25,25,factual,5482.378,1.0,-43.335,-0.0046,9500,-26.25,-23030.462
