quantity,arm,value,lo95,hi95,n,single_order,reading
"D1 selection gain, order-averaged",sel_n64,0.1155,0.089,0.1425,500,0.122,SURVIVES
"D2 metered gain, order-averaged",metered_k0.5,0.009,-0.011,0.029,500,0.019,DISSOLVES
"D3 difference of gains, paired",sel_n64 - metered_k0.5,0.1065,0.074,0.1395,500,0.103,REVERSAL CONFIRMED
"D4 chat_k2 gain, order-averaged",chat_k2,0.1455,0.119,0.173,500,0.127,SURVIVES
"D5 chat_k2 minus selection, paired",chat_k2 - sel_n64,0.03,-0.009,0.068,500,,TIE
order consistency,sel_n64,0.45,,,500,,UNUSABLE
order consistency,sel_n1,0.462,,,500,,UNUSABLE
order consistency,metered_k0.5,0.518,,,500,,NOISY
order consistency,anchor_k0,0.504,,,500,,NOISY
order consistency,chat_k2,0.436,,,500,,UNUSABLE
