dir,records,decomposes,echo_frac,g0
output/xfer/sel_anchor64,32000,1.0,0.842,PASS
output/xfer/conc_all,16200,1.0,0.435556,PASS
output/sweep_plain,5400,1.0,0.824444,PASS
output/mixpow/sel_anchor64,51520,1.0,0.84472,PASS
output/mixpow/conc_k10,805,1.0,0.84472,PASS
output/mixpow/baseline,805,1.0,0.84472,PASS
output/mtb/sel_anchor256,20480,1.0,0.875,PASS
output/mtb/conc_bind,80,1.0,0.875,PASS
output/mtb/baseline,80,1.0,0.875,PASS
output/wscope/a_sel,54400,1.0,0.632941,PASS
output/wscope/c_conc,850,1.0,0.632941,PASS
output/wscope/a_baseline,850,1.0,0.632941,PASS
output/gutenberg/sel_anchor64,32000,1.0,0.86,PASS
output/gutenberg/conc_bind,1000,1.0,0.86,PASS
output/gutenberg/baseline,500,1.0,0.86,PASS
output/unseenbooks/sel_anchor64,32000,1.0,0.88,PASS
output/unseenbooks/conc_bind,500,1.0,0.88,PASS
output/unseenbooks/baseline,500,1.0,0.88,PASS
output/cotaeval_qa/sel_anchor64,32000,1.0,0.884,PASS
output/cotaeval_qa/conc_bind,500,1.0,0.884,PASS
output/cotaeval_qa/baseline,500,1.0,0.884,PASS
