n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,50,0.0,0.0,1.42,0.0965,0.0,0.0,0.0
8,1.2044,50,0.0,0.0,1.56,0.1017,0.0,0.0,0.0
64,3.1745,50,0.0,0.0,1.54,0.0902,0.0,0.0,0.0
-1,,50,0.0,0.0,,0.1109,0.0,0.0,0.0
