quantity,arm,value,lo95,hi95,n,single_order,reading
"D1 selection gain, order-averaged",sel_n64,0.0805,0.063,0.0975,500,0.068,SURVIVES
"D2 metered gain, order-averaged",metered_k10,-0.0145,-0.0315,0.003,500,0.116,DISSOLVES
"D3 difference of gains, paired",sel_n64 - metered_k10,0.095,0.078,0.112,500,-0.048,REVERSAL CONFIRMED
order consistency,sel_n64,0.338,,,500,,UNUSABLE
order consistency,sel_n1,0.38,,,500,,UNUSABLE
order consistency,metered_k10,0.88,,,500,,STABLE
order consistency,anchor_k0,0.38,,,500,,UNUSABLE
