band,quantity,value,lo95,hi95,reading,n
G0,"tinycomma, L=20: 50 Harry Potter passages",1.0,,,PASS,50
G0,"tinycomma, L=100: 50 Harry Potter passages",1.0,,,PASS,50
G0,"tinycomma, L=200: 50 Harry Potter passages",1.0,,,PASS,50
G0,"comma7b, L=20: 50 Harry Potter passages",1.0,,,PASS,50
G0,"comma7b, L=100: 50 Harry Potter passages",1.0,,,PASS,50
G0,"comma7b, L=200: 50 Harry Potter passages",1.0,,,PASS,50
G1,"positive control: Llama-3.1-70B at L=100, temperature 0.7, passages leaking",33,,,PASS,50
V1,"tinycomma, L=20: passages leaking (max recall over 64 draws > 0)",0,,,ZERO,50
V1,"tinycomma, L=100: passages leaking (max recall over 64 draws > 0)",0,,,ZERO,50
V1,"tinycomma, L=200: passages leaking (max recall over 64 draws > 0)",0,,,ZERO,50
V1,"comma7b, L=20: passages leaking (max recall over 64 draws > 0)",0,,,ZERO,50
V1,"comma7b, L=100: passages leaking (max recall over 64 draws > 0)",0,,,ZERO,50
V1,"comma7b, L=200: passages leaking (max recall over 64 draws > 0)",0,,,ZERO,50
V2,"tinycomma: S_w at temperature 0.7 against 1.0 (50 x median nats per token, 758 works)",179.14,,,ABOVE 159.83,758
V2,"comma7b: S_w at temperature 0.7 against 1.0 (50 x median nats per token, 758 works)",135.09,,,ABOVE 121.70,758
V3,"TriviaQA: share of questions with S(x) <= log 64, temperature 1.0",35.4,,,,500
V3,"TriviaQA: median S(x), temperature 1.0",5.86,,,,500
V3,"TriviaQA: share of questions with S(x) <= log 64, temperature 0.7",36.2,,,,500
V3,"TriviaQA: median S(x), temperature 0.7",5.78,,,,500
