arm,control,n_prompts,u_control,u_arm,gain,divergence_kind,divergence_nats,lambda_star_nats,over_frontier
"selection, n=64",u_sel_n1,500,0.455,0.5595,0.1045,KL bound,3.1745,0.099035,32.1
"metered decoder, k=10",u_anchor_k0,500,0.445,0.485,0.04,measured spend,171.28,0.014707,11646.0
