n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.2459,0.3953,51.21,0.4065,76.0,47.0,81.0
8,1.2044,100,0.3447,0.4145,70.1,0.5118,96.0,83.0,98.0
64,3.1745,100,0.3494,0.4145,71.26,0.5165,97.0,85.0,99.0
256,4.5491,100,0.3491,0.4145,70.49,0.5162,98.0,85.0,98.0
-1,,100,0.3925,0.8154,,0.5195,71.0,47.0,78.0
