judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.435,0.4,0.467,0.0,0.0,0.0,99.2,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.472,0.437,0.507,0.037,0.007,0.066,84.9,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.523,0.488,0.557,0.088,0.052,0.125,80.1,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.546,0.509,0.581,0.111,0.069,0.151,80.4,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.585,0.552,0.62,0.15,0.105,0.194,91.1,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.602,0.569,0.636,0.167,0.12,0.211,99.5,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.633,0.599,0.668,0.198,0.156,0.244,106.7,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),128,3.8598,500,0.637,0.603,0.672,0.202,0.156,0.248,114.1,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.468,0.425,0.513,0.0,0.0,0.0,99.2,0.994
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.58,0.538,0.623,0.112,0.078,0.146,84.9,0.994
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.599,0.557,0.642,0.131,0.089,0.173,80.1,0.994
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.601,0.558,0.643,0.133,0.087,0.182,80.4,0.994
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.624,0.58,0.669,0.156,0.109,0.204,91.1,0.994
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.624,0.581,0.665,0.156,0.11,0.203,99.5,0.994
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.67,0.629,0.709,0.202,0.156,0.248,106.7,0.994
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),128,3.8598,500,0.681,0.641,0.724,0.213,0.167,0.261,114.1,0.994
