prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.183,0.0,0.0,0.0795,0,0,0.0,2,0.0795,0.0,0.0795
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.0909,0.0,0.0,0.0898,0,0,0.0,2,0.0898,0.0,0.0898
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1333,0.0,0.0,0.0916,0,0,0.0,2,0.0916,0.0,0.0916
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.1434,0.0,0.0,0.1337,0,0,0.0,2,0.1337,0.0,0.1337
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.1507,0.0,0.0,0.079,0,0,0.0,1,0.079,0.0,0.079
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.0932,0.0,0.0,0.1208,0,0,0.0,2,0.1208,0.0,0.1208
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.1221,0.0,0.0,0.1075,0,0,0.0,2,0.1075,0.0,0.1075
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.0992,0.0,0.0,0.1085,0,0,0.0,2,0.1085,0.0,0.1085
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.1243,0.0,0.0,0.0684,0,0,0.0,1,0.0684,0.0,0.0684
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1921,0.0,0.0,0.12,0,0,0.0,2,0.12,0.0,0.12
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.1774,0.0,0.0,0.0909,0,0,0.0,1,0.0909,0.0,0.0909
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.1079,0.0,0.0,0.0201,0,0,0.0,1,0.0201,0.0,0.0201
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.1318,0.0,0.0,0.0756,0,0,0.0,2,0.0756,0.0,0.0756
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.1703,0.0,0.0,0.1149,0,0,0.0,2,0.1149,0.0,0.1149
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.095,0.0,0.0,0.0942,0,0,0.0,2,0.0942,0.0,0.0942
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.127,0.2139,0.0,0.0,0.1046,0,0,0.0,2,0.1046,0.0,0.1046
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.0,0.0861,0.0,0.0,0.0892,0,0,0.0,2,0.0892,0.0,0.0892
bookmia.17.33,harry_potter_and_the_sorcerer's_stone,0.0,0.1377,0.0,0.0,0.1134,0,0,0.0,2,0.1134,0.0,0.1134
bookmia.17.35,harry_potter_and_the_sorcerer's_stone,0.0,0.1079,0.0,0.0,0.1078,0,0,0.0,2,0.1078,0.0,0.1078
bookmia.17.38,harry_potter_and_the_sorcerer's_stone,0.0,0.098,0.0,0.0,0.1337,0,0,0.0,2,0.1337,0.0,0.1337
bookmia.17.41,harry_potter_and_the_sorcerer's_stone,0.0,0.1159,0.0,0.0,0.0964,0,0,0.0,2,0.0964,0.0,0.0964
bookmia.17.42,harry_potter_and_the_sorcerer's_stone,0.0,0.1491,0.0,0.0,0.043,0,0,0.0,2,0.043,0.0,0.043
bookmia.17.45,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0
bookmia.17.49,harry_potter_and_the_sorcerer's_stone,0.0,0.1264,0.0,0.0,0.1131,0,0,0.0,2,0.1131,0.0,0.1131
bookmia.17.51,harry_potter_and_the_sorcerer's_stone,0.0,0.1037,0.0,0.0,0.1086,0,0,0.0,2,0.1086,0.0,0.1086
bookmia.17.55,harry_potter_and_the_sorcerer's_stone,0.0,0.1882,0.0,0.0,0.1006,0,0,0.0,2,0.1006,0.0,0.1006
