model,skip_tokens,n,ratio_median,ratio_p10,ratio_p90,frac_interval_open
common-pile/comma-v0.1-2t,0,758,6.101563317397243,2.225648864208271,17.751638352136332,0.9986807387862797
common-pile/comma-v0.1-2t,1,758,1.363278899036002,1.0013947309409452,3.0244469514769636,0.9063324538258575
common-pile/comma-v0.1-2t,5,758,1.361257921058847,0.978862702882291,3.0691385547778154,0.8654353562005277
common-pile/comma-v0.1-2t,10,758,1.3542147064029968,0.996328437784572,2.894941236091085,0.8931398416886543
common-pile/comma-v0.1-2t,20,758,1.3656910951650338,0.99012534104493,2.736155093582325,0.8839050131926122
