quantity,arm,value,lo95,hi95,n,single_order,reading
"D1 selection gain, order-averaged",sel_n64,0.1145,0.088,0.141,500,0.115,SURVIVES
"D2 metered gain, order-averaged",metered_k10,0.263,0.235,0.2905,500,0.259,SURVIVES
"D3 difference of gains, paired",sel_n64 - metered_k10,-0.1485,-0.1865,-0.1105,500,-0.144,REVERSAL REFUTED
"D4 opp_chat_draw2 gain, order-averaged",opp_chat_draw2,0.266,0.2375,0.2945,500,0.282,SURVIVES
"D5 opp_chat_draw2 minus selection, paired",opp_chat_draw2 - sel_n64,0.1515,0.1125,0.191,500,,INCUMBENT WINS
order consistency,sel_n64,0.438,,,500,,UNUSABLE
order consistency,sel_n1,0.458,,,500,,UNUSABLE
order consistency,metered_k10,0.426,,,500,,UNUSABLE
order consistency,anchor_k0,0.504,,,500,,NOISY
order consistency,opp_chat_draw2,0.486,,,500,,UNUSABLE
