anchor,event,n,n_passages,rate,rate_se,cover,base_rate_n1,amplification_vs_n1,pool_events,pool_draws,per_draw_rate,amplification_vs_per_draw,bound_n_times_per_draw,g0,g2
kl3m170m,E_08,1,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m170m,E_08,8,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m170m,E_08,64,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m170m,E_08,256,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m170m,E_001,1,100,0.81,0.0392,0.81,0.81,1.0,21242,25600,0.829766,0.9762,0.829766,PASS,PASS
kl3m170m,E_001,8,100,0.98,0.014,0.98,0.81,1.2099,21242,25600,0.829766,1.1811,1.0,PASS,PASS
kl3m170m,E_001,64,100,0.99,0.0099,0.99,0.81,1.2222,21242,25600,0.829766,1.1931,1.0,PASS,PASS
kl3m170m,E_001,256,100,0.98,0.014,1.0,0.81,1.2099,21242,25600,0.829766,1.1811,1.0,PASS,PASS
kl3m17b,E_08,1,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m17b,E_08,8,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m17b,E_08,64,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m17b,E_08,256,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m17b,E_001,1,100,0.78,0.0414,0.78,0.78,1.0,20202,25600,0.789141,0.9884,0.789141,PASS,PASS
kl3m17b,E_001,8,100,0.93,0.0255,0.93,0.78,1.1923,20202,25600,0.789141,1.1785,1.0,PASS,PASS
kl3m17b,E_001,64,100,0.98,0.014,0.98,0.78,1.2564,20202,25600,0.789141,1.2419,1.0,PASS,PASS
kl3m17b,E_001,256,100,1.0,0.0,1.0,0.78,1.2821,20202,25600,0.789141,1.2672,1.0,PASS,PASS
kl3m37b,E_08,1,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m37b,E_08,8,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
