arm,n,lcs_before,lcs_after,rouge_before,rouge_after,g0,g1,g2
n256,1,1.48,1.48,0.0671,0.0671,PASS,PASS,PASS
n256,8,1.87,1.73,0.1059,0.079,PASS,PASS,PASS
n256,64,1.89,1.6,0.1093,0.0717,PASS,PASS,PASS
n256,256,1.72,1.56,0.1052,0.0815,PASS,PASS,PASS
paraphrase,1,1.59,1.59,0.0721,0.0721,PASS,PASS,PASS
paraphrase,8,1.93,1.73,0.1082,0.0865,PASS,PASS,PASS
paraphrase,64,1.85,1.56,0.1073,0.0777,PASS,PASS,PASS
multilingual,1,1.51,1.51,0.0816,0.0816,PASS,PASS,PASS
multilingual,8,1.65,1.53,0.0937,0.0792,PASS,PASS,PASS
multilingual,64,1.58,1.51,0.085,0.0704,PASS,PASS,PASS
grid64,1,1.59,1.59,,0.0721,PASS,PASS,PASS
grid64,2,1.8,1.72,,0.0843,PASS,PASS,PASS
grid64,4,1.83,1.76,,0.0919,PASS,PASS,PASS
grid64,8,1.93,1.73,,0.0865,PASS,PASS,PASS
grid64,16,1.91,1.66,,0.082,PASS,PASS,PASS
grid64,32,1.87,1.58,,0.0763,PASS,PASS,PASS
grid64,64,1.85,1.56,,0.0777,PASS,PASS,PASS
