k,steps_active,steps_total,n_trajectories,activity,abs_dist_to_target
0.1,33767,75942,500,0.44464196,0.36456196
0.3,53185,81120,500,0.65563363,0.57555363
1.0,19558,93543,500,0.20908032,0.12900032
3.0,617,98004,500,0.00629566,0.07378434
10.0,231,99806,500,0.00231449,0.07776551
