judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.423,0.389,0.458,0.0,0.0,0.0,69.7,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.464,0.429,0.498,0.041,0.01,0.072,69.9,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.468,0.435,0.502,0.045,0.006,0.083,63.8,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.496,0.462,0.53,0.073,0.03,0.12,67.9,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.505,0.467,0.541,0.082,0.036,0.128,71.6,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.548,0.511,0.584,0.125,0.079,0.171,74.9,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.564,0.53,0.599,0.141,0.095,0.187,82.0,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.424,0.381,0.467,0.0,0.0,0.0,69.7,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.47,0.428,0.513,0.046,0.013,0.08,69.9,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.514,0.473,0.556,0.09,0.047,0.134,63.8,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.52,0.475,0.565,0.096,0.05,0.141,67.9,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.533,0.492,0.576,0.109,0.06,0.16,71.6,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.527,0.483,0.57,0.103,0.058,0.153,74.9,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.541,0.495,0.585,0.117,0.07,0.164,82.0,0.9643
