arm,budget_B,tau,constraint,K,n_traj,spend_median,spend_max,binds,spent_nothing_pct,active_steps_median,active_steps_max,decode_steps,spend_pos_median,spend_pos_mean,spend_pos_max,active_share,forced_share,pad_share_of_gen_len,invariant_violations,gain,gain_lo95,gain_hi95,d3_vs_selection
sparse_b2.08_t0,2.0794,,kl,2.0794002000000003,1500,2.0794,2.0794,YES,0.0,1.0,4,176501,1.0,1.3,120,0.00971,0.9829,0.4189,0,-0.0015,-0.02,0.017,0.106
sparse_b4.16_t0,4.1589,,kl,4.1589002,1500,4.1589,4.1589,YES,0.0,1.0,3,179221,3.0,3.1,27,0.00915,0.9646,0.4106,0,0.0215,0.0015,0.0415,0.083
sparse_b4.16_t1,4.1589,1.0,kl,4.1589002,1500,4.1589,4.1589,YES,2.2,1.0,2,177508,4.0,5.7,75,0.00913,0.9778,0.4163,0,,,,
sparse_b4.16_t2,4.1589,2.0,kl,4.1589002,1500,4.1589,4.1589,YES,10.0,1.0,3,164266,8,18.2,197,0.00873,0.9839,0.4598,0,,,,
sparse_b4.16_t4,4.1589,4.0,kl,4.1589002,1500,0.0,4.1589,YES,54.7,0.0,2,145506,12,27.0,199,0.00492,0.9945,0.5209,0,,,,
sparse_b4.16_t8,4.1589,8.0,kl,4.1589002,1500,0.0,4.1589,YES,86.7,0.0,2,145761,17,36.6,197,0.00156,0.9984,0.5191,0,,,,
sparse_b64_t0,64.0,,kl,64.0000002,1500,64.0,64.0,YES,0.0,1.0,1,251016,70.0,72.6,176,0.00596,0.5607,0.1745,0,0.0545,0.0315,0.0775,0.05
renyi8_k3_full,0.0,,renyi:8,600.0,1500,34.7098,79.1238,no,8.3,199.0,200,267582,97.0,97.5,199,0.99281,0.0055,0.12,0,,,,
