prompt_id,split,novel_source,S_safe,n_ref_tokens,S_safe_per_tok,S_safe_first_tok,S_risky,S_risky_per_tok,S_risky_first_tok,cap_k0.1,cap_k0.15,cap_k0.25,cap_k0.5,cap_k1,cap_k3,cap_k5
bookmia.00.11,attack_train,1984,132.981,57,2.333,13.503,11.848,0.2079,11.001,0.153623,0.229648,0.380991,0.756164,1.0,1.0,1.0
bookmia.00.26,attack_train,1984,177.369,57,3.1117,12.81,11.214,0.1967,10.706,0.114768,0.171725,0.285269,0.567653,1.0,1.0,1.0
bookmia.00.31,attack_train,1984,173.249,57,3.0395,3.099,0.366,0.0064,0.008,0.11753,0.175845,0.292088,0.581128,1.0,1.0,1.0
bookmia.00.40,attack_train,1984,178.662,59,3.0282,14.824,13.818,0.2342,12.117,0.113928,0.170471,0.283194,0.56355,1.0,1.0,1.0
bookmia.00.46,attack_train,1984,198.784,59,3.3692,17.197,18.351,0.311,18.166,0.102272,0.153071,0.254382,0.506545,1.0,1.0,1.0
bookmia.00.48,attack_train,1984,199.862,66,3.0282,17.074,15.07,0.2283,10.582,0.101714,0.152238,0.253003,0.503813,1.0,1.0,1.0
bookmia.00.64,attack_train,1984,173.408,60,2.8901,11.639,17.774,0.2962,14.191,0.117421,0.175683,0.291819,0.580597,1.0,1.0,1.0
bookmia.00.71,attack_train,1984,181.632,62,2.9295,14.294,9.135,0.1473,8.34,0.112044,0.167659,0.278539,0.554347,1.0,1.0,1.0
bookmia.01.00,attack_train,a_game_of_thrones,142.443,60,2.374,14.962,12.173,0.2029,12.001,0.143292,0.214258,0.355587,0.706286,1.0,1.0,1.0
bookmia.01.01,attack_train,a_game_of_thrones,185.5,63,2.9444,0.747,2.564,0.0407,0.005,0.109681,0.164132,0.2727,0.5428,1.0,1.0,1.0
bookmia.01.02,attack_train,a_game_of_thrones,257.014,62,4.1454,13.994,14.864,0.2397,14.625,0.078891,0.118138,0.19647,0.391689,0.780217,1.0,1.0
bookmia.01.03,attack_train,a_game_of_thrones,210.003,61,3.4427,15.262,10.972,0.1799,10.628,0.09675,0.144825,0.24072,0.47948,0.953266,1.0,1.0
bookmia.01.04,attack_train,a_game_of_thrones,214.968,67,3.2085,0.84,0.75,0.0112,0.007,0.094492,0.141452,0.23513,0.468401,0.931532,1.0,1.0
bookmia.01.07,attack_train,a_game_of_thrones,233.805,58,4.0311,13.348,16.157,0.2786,15.848,0.086803,0.129964,0.216086,0.43063,0.857168,1.0,1.0
bookmia.01.10,attack_train,a_game_of_thrones,257.097,71,3.6211,16.443,16.947,0.2387,16.285,0.078865,0.1181,0.196406,0.391562,0.779966,1.0,1.0
bookmia.01.11,attack_train,a_game_of_thrones,202.298,66,3.0651,15.46,11.962,0.1812,11.814,0.100476,0.150389,0.24994,0.497747,0.988941,1.0,1.0
bookmia.01.12,attack_train,a_game_of_thrones,278.671,90,3.0963,13.671,8.232,0.0915,6.662,0.072704,0.108889,0.181121,0.361193,0.719821,1.0,1.0
bookmia.01.14,attack_train,a_game_of_thrones,186.297,61,3.054,10.501,8.963,0.1469,8.507,0.109207,0.163423,0.271528,0.54048,1.0,1.0,1.0
bookmia.01.20,attack_train,a_game_of_thrones,196.968,64,3.0776,14.777,8.947,0.1398,8.575,0.103225,0.154494,0.25674,0.511214,1.0,1.0,1.0
bookmia.01.22,attack_train,a_game_of_thrones,218.237,66,3.3066,11.336,14.123,0.214,12.181,0.093062,0.139315,0.231589,0.46138,0.917737,1.0,1.0
bookmia.01.23,attack_train,a_game_of_thrones,221.345,62,3.5701,15.214,19.599,0.3161,13.632,0.091742,0.137343,0.228319,0.454897,0.904985,1.0,1.0
