judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.439,0.405,0.474,0.0,0.0,0.0,85.9,0.8929
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.484,0.45,0.518,0.045,0.016,0.074,79.8,0.8929
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.477,0.444,0.513,0.038,0.0,0.073,78.2,0.8929
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.481,0.444,0.516,0.042,0.004,0.081,80.2,0.8929
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.502,0.468,0.537,0.063,0.018,0.109,85.2,0.8929
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.556,0.52,0.591,0.117,0.071,0.165,99.5,0.8929
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.564,0.528,0.6,0.125,0.08,0.171,108.2,0.8929
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.448,0.404,0.494,0.0,0.0,0.0,85.9,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.496,0.452,0.542,0.048,0.018,0.08,79.8,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.526,0.482,0.57,0.078,0.038,0.118,78.2,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.544,0.5,0.588,0.096,0.054,0.136,80.2,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.596,0.554,0.64,0.148,0.1,0.196,85.2,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.634,0.589,0.674,0.186,0.135,0.237,99.5,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.617,0.575,0.659,0.169,0.119,0.219,108.2,0.9643
