run,window0_queries,identical,share,by_k
comp8b_kl,1200,1200,1.0,-1:200/200;0:200/200;3:200/200;5:200/200;10:200/200;20:200/200
comp8b_pathwise,1600,344,0.215,-1:106/200;0:6/200;1:6/200;3:5/200;5:6/200;10:16/200;20:93/200;50:106/200
bank_cap_k10_10,100,3,0.03,10:3/100
bank_cap_k10_50,100,6,0.06,10:6/100
bank_cap_k20_20,100,37,0.37,20:37/100
comp_comma7b,1800,453,0.2517,-1:157/200;0:4/200;0.15:4/200;0.5:2/200;1:3/200;3:9/200;5:19/200;10:98/200;20:157/200
nm/hp1_greedy,100,100,1.0,-1:50/50;0:50/50
nm/hp1_B,400,400,1.0,-1:50/50;0:50/50;1:50/50;1.5:50/50;3:50/50;5:50/50;10:50/50;20:50/50
nm/hp1_A,400,400,1.0,-1:50/50;0:50/50;1:50/50;1.5:50/50;3:50/50;5:50/50;10:50/50;20:50/50
nm/1984_greedy,16,13,0.8125,-1:7/8;0:6/8
nm/1984_B,64,7,0.1094,-1:3/8;0:0/8;1:0/8;1.5:0/8;3:0/8;5:0/8;10:1/8;20:3/8
nm/1984_A,64,0,0.0,-1:0/8;0:0/8;1:0/8;1.5:0/8;3:0/8;5:0/8;10:0/8;20:0/8
