arm,n,threshold,served_after,served_before,oracle,picks_changed,g0,g1,g2
n256,1,0.5,0,0,0,0,PASS,PASS,PASS
n256,1,0.3,0,0,0,0,PASS,PASS,PASS
n256,8,0.5,0,0,0,74,PASS,PASS,PASS
n256,8,0.3,0,0,0,74,PASS,PASS,PASS
n256,64,0.5,0,0,0,80,PASS,PASS,PASS
n256,64,0.3,0,0,0,80,PASS,PASS,PASS
n256,256,0.5,0,0,0,66,PASS,PASS,PASS
n256,256,0.3,0,0,0,66,PASS,PASS,PASS
paraphrase,1,0.5,0,0,0,0,PASS,PASS,PASS
paraphrase,1,0.3,0,0,0,0,PASS,PASS,PASS
paraphrase,8,0.5,0,0,0,69,PASS,PASS,PASS
paraphrase,8,0.3,0,0,0,69,PASS,PASS,PASS
paraphrase,64,0.5,0,0,0,76,PASS,PASS,PASS
paraphrase,64,0.3,0,0,0,76,PASS,PASS,PASS
multilingual,1,0.5,0,0,0,0,PASS,PASS,PASS
multilingual,1,0.3,0,0,0,0,PASS,PASS,PASS
multilingual,8,0.5,0,0,0,39,PASS,PASS,PASS
multilingual,8,0.3,0,0,0,39,PASS,PASS,PASS
multilingual,64,0.5,0,0,0,51,PASS,PASS,PASS
multilingual,64,0.3,0,0,0,51,PASS,PASS,PASS
