judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.441,0.409,0.476,0.0,0.0,0.0,99.2,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.482,0.446,0.516,0.041,0.01,0.073,84.9,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.501,0.466,0.535,0.06,0.021,0.099,80.1,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.513,0.477,0.548,0.072,0.031,0.112,80.4,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.544,0.511,0.579,0.103,0.063,0.146,91.1,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.568,0.532,0.602,0.127,0.085,0.17,99.5,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.614,0.578,0.646,0.173,0.13,0.218,106.7,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.473,0.427,0.518,0.0,0.0,0.0,99.2,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.535,0.491,0.578,0.062,0.028,0.098,84.9,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.583,0.541,0.624,0.11,0.065,0.156,80.1,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.618,0.576,0.661,0.145,0.1,0.193,80.4,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.64,0.598,0.685,0.167,0.119,0.213,91.1,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.662,0.621,0.701,0.189,0.142,0.236,99.5,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.703,0.661,0.742,0.23,0.184,0.277,106.7,1.0
