k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.0825,18.6,,,
0.5,100,0,0,0.0,0.1757,9.05,,,
1,100,0,0,0.0,0.3046,4.32,,,
3,100,2.0,22.0,0.6244,0.891,0.91,,,
5,100,53.0,74.0,0.9931,0.9967,0.39,,,
10,100,94.0,99.0,0.9997,0.9997,0.08,,,
20,100,100,100,1.0,1.0,0,,,
