task,scorer,params_b,n,nats_certified,acc,n_problems,spearman_acc_logn
gsm8k,0.5B,0.494,1,0.0,0.32,500,-0.3243
gsm8k,0.5B,0.494,2,0.6931,0.336,500,-0.3243
gsm8k,0.5B,0.494,4,1.3863,0.32,500,-0.3243
gsm8k,0.5B,0.494,8,2.0794,0.302,500,-0.3243
gsm8k,0.5B,0.494,16,2.7726,0.312,500,-0.3243
gsm8k,0.5B,0.494,32,3.4657,0.332,500,-0.3243
gsm8k,0.5B,0.494,64,4.1589,0.316,500,-0.3243
gsm8k,1.5B,1.5437,1,0.0,0.32,500,-0.2143
gsm8k,1.5B,1.5437,2,0.6931,0.33,500,-0.2143
gsm8k,1.5B,1.5437,4,1.3863,0.316,500,-0.2143
gsm8k,1.5B,1.5437,8,2.0794,0.318,500,-0.2143
gsm8k,1.5B,1.5437,16,2.7726,0.332,500,-0.2143
gsm8k,1.5B,1.5437,32,3.4657,0.324,500,-0.2143
gsm8k,1.5B,1.5437,64,4.1589,0.31,500,-0.2143
gsm8k,3B,3.0859,1,0.0,0.32,500,0.8365
gsm8k,3B,3.0859,2,0.6931,0.334,500,0.8365
gsm8k,3B,3.0859,4,1.3863,0.334,500,0.8365
gsm8k,3B,3.0859,8,2.0794,0.32,500,0.8365
gsm8k,3B,3.0859,16,2.7726,0.338,500,0.8365
gsm8k,3B,3.0859,32,3.4657,0.344,500,0.8365
gsm8k,3B,3.0859,64,4.1589,0.356,500,0.8365
gsm8k,7.6B,7.6156,1,0.0,0.32,500,0.9286
gsm8k,7.6B,7.6156,2,0.6931,0.352,500,0.9286
gsm8k,7.6B,7.6156,4,1.3863,0.344,500,0.9286
gsm8k,7.6B,7.6156,8,2.0794,0.364,500,0.9286
gsm8k,7.6B,7.6156,16,2.7726,0.356,500,0.9286
gsm8k,7.6B,7.6156,32,3.4657,0.38,500,0.9286
gsm8k,7.6B,7.6156,64,4.1589,0.386,500,0.9286
gsm8k,majority vote,,1,0.0,0.32,500,0.955
gsm8k,majority vote,,2,0.6931,0.32,500,0.955
gsm8k,majority vote,,4,1.3863,0.392,500,0.955
gsm8k,majority vote,,8,2.0794,0.466,500,0.955
gsm8k,majority vote,,16,2.7726,0.5,500,0.955
gsm8k,majority vote,,32,3.4657,0.546,500,0.955
gsm8k,majority vote,,64,4.1589,0.542,500,0.955
triviaqa,0.5B,0.494,1,0.0,0.28,500,-0.3063
triviaqa,0.5B,0.494,2,0.6931,0.268,500,-0.3063
triviaqa,0.5B,0.494,4,1.3863,0.256,500,-0.3063
triviaqa,0.5B,0.494,8,2.0794,0.264,500,-0.3063
triviaqa,0.5B,0.494,16,2.7726,0.268,500,-0.3063
triviaqa,0.5B,0.494,32,3.4657,0.274,500,-0.3063
triviaqa,0.5B,0.494,64,4.1589,0.262,500,-0.3063
triviaqa,1.5B,1.5437,1,0.0,0.28,500,-0.991
triviaqa,1.5B,1.5437,2,0.6931,0.278,500,-0.991
triviaqa,1.5B,1.5437,4,1.3863,0.27,500,-0.991
triviaqa,1.5B,1.5437,8,2.0794,0.25,500,-0.991
triviaqa,1.5B,1.5437,16,2.7726,0.236,500,-0.991
triviaqa,1.5B,1.5437,32,3.4657,0.234,500,-0.991
triviaqa,1.5B,1.5437,64,4.1589,0.234,500,-0.991
triviaqa,3B,3.0859,1,0.0,0.28,500,-0.7748
triviaqa,3B,3.0859,2,0.6931,0.278,500,-0.7748
triviaqa,3B,3.0859,4,1.3863,0.288,500,-0.7748
triviaqa,3B,3.0859,8,2.0794,0.27,500,-0.7748
triviaqa,3B,3.0859,16,2.7726,0.246,500,-0.7748
triviaqa,3B,3.0859,32,3.4657,0.246,500,-0.7748
triviaqa,3B,3.0859,64,4.1589,0.252,500,-0.7748
triviaqa,7.6B,7.6156,1,0.0,0.28,500,-0.6071
triviaqa,7.6B,7.6156,2,0.6931,0.282,500,-0.6071
triviaqa,7.6B,7.6156,4,1.3863,0.284,500,-0.6071
triviaqa,7.6B,7.6156,8,2.0794,0.256,500,-0.6071
triviaqa,7.6B,7.6156,16,2.7726,0.242,500,-0.6071
triviaqa,7.6B,7.6156,32,3.4657,0.252,500,-0.6071
triviaqa,7.6B,7.6156,64,4.1589,0.266,500,-0.6071
triviaqa,majority vote,,1,0.0,0.28,500,0.982
triviaqa,majority vote,,2,0.6931,0.28,500,0.982
triviaqa,majority vote,,4,1.3863,0.3,500,0.982
triviaqa,majority vote,,8,2.0794,0.322,500,0.982
triviaqa,majority vote,,16,2.7726,0.322,500,0.982
triviaqa,majority vote,,32,3.4657,0.328,500,0.982
triviaqa,majority vote,,64,4.1589,0.334,500,0.982
