k,quantity,g,trajectories,steps,alpha_mean,alpha_median,alpha_p10,pstar_median_abs_err,best_g,tokens_per_risky_forward,speedup,selection_ratio,alpha_star,selection_ratio_at_alpha1,c_anchor,c_risky,c_meter,selection_ratio_committed
10,round,1,,,,,,,,1.5864,1.7112,0.8802,,,,,,
10,round,2,,,,,,,,1.9312,1.4607,0.7514,,,,,,
10,round,3,,,,,,,,2.1378,1.2451,0.6405,,,,,,
10,round,4,,,,,,,,2.2613,1.0707,0.5508,,,,,,
10,round,5,,,,,,,,2.335,0.9314,0.4791,,,,,,
10,round,6,,,,,,,,2.3841,0.8216,0.4226,,,,,,
10,round,7,,,,,,,,2.4118,0.7316,0.3763,,,,,,
10,round,8,,,,,,,,2.433,0.659,0.339,,,,,,
10,acceptance,,500,99907,0.5986,0.5917,0.3372,0.000208,1,1.5864,1.7112,0.8802,0.8023,1.254,0.011856,0.015974,0.030019,0.5144
3,round,1,,,,,,,,1.5878,1.7127,0.881,,,,,,
3,round,2,,,,,,,,1.9354,1.464,0.7531,,,,,,
3,round,3,,,,,,,,2.1423,1.2477,0.6418,,,,,,
3,round,4,,,,,,,,2.2645,1.0723,0.5516,,,,,,
3,round,5,,,,,,,,2.3386,0.9328,0.4799,,,,,,
3,round,6,,,,,,,,2.3856,0.8221,0.4229,,,,,,
3,round,7,,,,,,,,2.4156,0.7327,0.3769,,,,,,
3,round,8,,,,,,,,2.4347,0.6595,0.3392,,,,,,
3,acceptance,,500,95158,0.5991,0.5914,0.3374,0.00019,1,1.5878,1.7127,0.881,0.8023,1.254,0.011856,0.015974,0.030019,0.5144
0.5,round,1,,,,,,,,1.6726,1.8041,0.928,,,,,,
0.5,round,2,,,,,,,,2.1226,1.6056,0.8259,,,,,,
0.5,round,3,,,,,,,,2.4301,1.4153,0.728,,,,,,
0.5,round,4,,,,,,,,2.6329,1.2467,0.6413,,,,,,
0.5,round,5,,,,,,,,2.7702,1.105,0.5684,,,,,,
0.5,round,6,,,,,,,,2.8623,0.9864,0.5074,,,,,,
0.5,round,7,,,,,,,,2.9285,0.8883,0.4569,,,,,,
0.5,round,8,,,,,,,,2.9784,0.8068,0.415,,,,,,
0.5,acceptance,,500,75700,0.6808,0.6397,0.552,0.000165,1,1.6726,1.8041,0.928,0.8023,1.254,0.011856,0.015974,0.030019,0.5144
