prompt_id,novel,risky_alone_recall,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,recall_n8,lcs_n8,recall_n64,lcs_n64
bookmia.00.11,1984,0.802,0.501,0.7376,0.7129,88,0.7376,88,0.7376,149
bookmia.00.26,1984,0.7014,0.647,0.7062,0.7014,148,0.7014,148,0.6682,141
bookmia.00.31,1984,0.0,0.1957,0.7105,0.0,3,0.7053,107,0.7105,135
bookmia.00.40,1984,0.2892,0.6116,0.7108,0.6961,142,0.6961,142,0.6961,142
bookmia.00.46,1984,0.0,0.646,0.7336,0.7056,125,0.7243,155,0.7243,155
bookmia.00.48,1984,0.77,0.6224,0.7183,0.7183,153,0.7183,153,0.7183,153
bookmia.00.64,1984,0.0,0.6539,0.7005,0.7005,152,0.7005,152,0.7005,152
bookmia.00.71,1984,0.3897,0.1652,0.2207,0.2207,47,0.2207,47,0.2207,47
bookmia.01.00,a_game_of_thrones,0.0,0.4042,0.6761,0.5962,97,0.5962,97,0.6197,132
bookmia.01.01,a_game_of_thrones,0.2488,0.0086,0.5484,0.0,15,0.0,15,0.5484,95
bookmia.01.02,a_game_of_thrones,0.7424,0.5605,0.6768,0.6566,56,0.6717,133,0.6717,133
bookmia.01.03,a_game_of_thrones,0.2778,0.4214,0.702,0.3535,67,0.702,72,0.702,72
bookmia.01.04,a_game_of_thrones,0.2754,0.6679,0.7343,0.7343,152,0.7343,152,0.7343,152
bookmia.01.07,a_game_of_thrones,0.5352,0.1335,0.7183,0.6948,88,0.6948,88,0.7183,153
bookmia.01.10,a_game_of_thrones,0.0,0.635,0.6782,0.6436,130,0.6733,136,0.6733,136
bookmia.01.11,a_game_of_thrones,0.7642,0.2658,0.717,0.1415,30,0.7123,151,0.7123,151
bookmia.01.12,a_game_of_thrones,0.1033,0.2983,0.6479,0.6432,116,0.6432,116,0.6432,116
bookmia.01.14,a_game_of_thrones,0.7487,0.0168,0.7136,0.0,11,0.0,11,0.7136,142
bookmia.01.20,a_game_of_thrones,0.1281,0.5315,0.6798,0.6108,69,0.6601,134,0.6601,134
