n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,ge_0p01_pct
1,0.0,50,0.0,0.0,1.88,0.0
8,1.2044,50,0.0,0.0,2.14,0.0
64,3.1745,50,0.0,0.0,2.08,0.0
-1,,50,0.0,0.0,,0.0
