k,mode,L,B_user,recall_mean,reader_tokens,reader_completions
20.0,oracle,20,50,0.0,61.0,0.305
20.0,oracle,20,100,0.0016,122.0,0.61
20.0,oracle,20,200,0.1442,244.0,1.22
20.0,oracle,20,400,0.3724,488.0,2.44
20.0,oracle,20,800,0.7954,976.0,4.88
20.0,oracle,20,1600,0.8579,1952.1,9.76
20.0,oracle,20,3200,0.8579,3904.2,19.521
20.0,oracle,20,inf,0.8579,,
20.0,oracle,50,50,0.0,61.0,0.305
20.0,oracle,50,100,0.0,122.0,0.61
20.0,oracle,50,200,0.1234,244.0,1.22
20.0,oracle,50,400,0.3032,488.0,2.44
20.0,oracle,50,800,0.7121,976.0,4.88
20.0,oracle,50,1600,0.7865,1952.1,9.76
20.0,oracle,50,3200,0.7865,3904.2,19.521
20.0,oracle,50,inf,0.7865,,
20.0,single,0,50,0.0,61.0,0.305
20.0,single,0,100,0.0,122.0,0.61
20.0,single,0,200,0.0,244.0,1.22
20.0,single,0,400,0.0,488.0,2.44
20.0,single,0,800,0.1557,976.0,4.88
20.0,single,0,1600,0.4759,1952.1,9.76
20.0,single,0,3200,0.4759,3904.2,19.521
20.0,single,0,inf,0.4759,,
