k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct,agreement_pct,infeasible_but_recall_ge_0p5_n,recall_mean_feasible,recall_mean_infeasible,pred_minus_obs_mean,pred_obs_pearson,pred_obs_spearman
0.15,100,0,0,0.0,0.0572,82.63,0.0,0.0,0.0,100,0,0.0,0.0,0.0,,
0.5,100,0,0,0.0,0.1567,28.71,0.0,0.0,0.0,100,0,0.0,0.0,0.0,,
1,100,0,0,0.0,0.2843,14.66,0.0,0.0,0.0,100,0,0.0,0.0,0.0,,
3,100,0,0,0.5739,0.8711,4.76,0.0116,1.0,0.0,99.0,1,0.0,0.0116,0.5623,0.097,0.046
5,100,0,0,0.9798,0.9866,2.75,0.0925,8.0,5.0,92.0,8,0.0,0.0925,0.8872,0.046,0.073
10,100,2.0,10.0,0.9956,0.9957,1.08,0.2005,19.0,10.0,79.0,19,0.0694,0.2032,0.7951,0.136,-0.013
20,100,92.0,96.0,0.9997,0.9997,0.08,0.4759,45.0,28.0,45.0,4,0.4753,0.4832,0.5238,0.001,0.013
