prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.07.06,casino_royale,0.7436,0.8612,0.7433,0.8205,0.8983,213,248,0.8154,151,0.8895,0.8154,0.8895,0.8154,159,0.8983,0.8154,0.8983,0.8154,159,0.8983,0.8154,0.8983,0.8154,159,0.8983,0.8205,0.8983
bookmia.07.07,casino_royale,0.0,0.1463,0.6805,0.7963,0.8814,0,246,0.1065,23,0.2584,0.1065,0.2584,0.7917,171,0.8814,0.7917,0.8814,0.7917,171,0.8814,0.7917,0.8814,0.7917,171,0.8814,0.7963,0.8814
bookmia.07.08,casino_royale,0.4541,0.5754,0.695,0.7585,0.8564,0,250,0.744,154,0.8508,0.744,0.8508,0.744,154,0.8508,0.744,0.8508,0.744,154,0.8508,0.744,0.8508,0.744,154,0.8508,0.7585,0.8564
bookmia.07.09,casino_royale,0.7799,0.8763,0.7278,0.7847,0.8763,0,250,0.7799,163,0.8763,0.7799,0.8763,0.7799,163,0.8763,0.7799,0.8763,0.7799,163,0.8763,0.7847,0.8763,0.7799,163,0.8763,0.7847,0.8763
bookmia.07.15,casino_royale,0.7897,0.8825,0.7341,0.7944,0.8825,0,256,0.7897,169,0.8825,0.7897,0.8825,0.7897,169,0.8825,0.7897,0.8825,0.7897,169,0.8825,0.7897,0.8825,0.7897,169,0.8825,0.7944,0.8825
bookmia.07.16,casino_royale,0.6465,0.7387,0.6887,0.8233,0.9031,200,219,0.8233,177,0.9031,0.8233,0.9031,0.8233,177,0.9031,0.8233,0.9031,0.8233,177,0.9031,0.8233,0.9031,0.8233,177,0.9031,0.8233,0.9031
bookmia.07.17,casino_royale,0.203,0.3362,0.5131,0.7673,0.8596,0,249,0.6535,98,0.7451,0.6535,0.7451,0.7574,153,0.8596,0.7574,0.8596,0.7574,153,0.8596,0.7624,0.8596,0.7574,153,0.8596,0.7673,0.8596
bookmia.07.20,casino_royale,0.3991,0.5319,0.4858,0.7606,0.867,0,252,0.4836,51,0.5989,0.4836,0.5989,0.7418,82,0.8495,0.7418,0.8495,0.7418,82,0.8495,0.7606,0.8617,0.7465,159,0.8579,0.7606,0.867
bookmia.07.24,casino_royale,0.5492,0.6328,0.713,0.8187,0.9003,204,248,0.8187,158,0.9003,0.8187,0.9003,0.8187,158,0.9003,0.8187,0.9003,0.8187,158,0.9003,0.8187,0.9003,0.8187,158,0.9003,0.8187,0.9003
bookmia.07.25,casino_royale,0.743,0.8525,0.3093,0.4579,0.6427,0,252,0.1449,31,0.2755,0.1449,0.2755,0.1449,31,0.274,0.4439,0.5738,0.4439,95,0.6011,0.4579,0.6203,0.4439,95,0.6011,0.4579,0.6427
bookmia.07.26,casino_royale,0.2009,0.3483,0.6653,0.7897,0.8766,0,244,0.1822,39,0.3342,0.1822,0.3342,0.7804,167,0.8766,0.7804,0.8766,0.7804,167,0.8766,0.785,0.8766,0.7804,167,0.8766,0.7897,0.8766
bookmia.07.28,casino_royale,0.5209,0.7763,0.1955,0.814,0.8974,40,69,0.0,3,0.1753,0.0,0.1753,0.0,3,0.1753,0.0,0.2121,0.814,175,0.8974,0.814,0.8974,0.814,175,0.8974,0.814,0.8974
bookmia.07.29,casino_royale,0.1866,0.3548,0.7112,0.7703,0.8679,0,255,0.7656,160,0.8649,0.7656,0.8649,0.7656,160,0.8649,0.7656,0.8649,0.7656,160,0.8649,0.7656,0.8649,0.7656,160,0.8649,0.7703,0.8679
