k,K,split,n_traj,S_safe_mean,S_safe_p10,S_safe_p50,S_safe_p90,S_star_mean,cap_vacuous_n,cap_vacuous_pct,cap_p50,cap_mean
1.0,200.0,attack_train,999,1153.2,639.0,1077.8,1815.2,992.5,10,1.0,0.1862,0.2105
1.0,200.0,creative,1500,1091.8,2.4,1127.0,1851.0,949.4,211,14.07,0.1784,0.2992
1.0,200.0,factual,1500,867.1,383.5,698.7,1650.7,715.5,28,1.87,0.2878,0.3109
1.0,200.0,neutral,2000,764.6,1.0,645.9,1721.9,645.1,449,22.45,0.3109,0.4405
1.0,200.0,test,1500,1100.4,622.0,1019.5,1751.3,940.6,16,1.07,0.1971,0.22
1.0,200.0,val,1500,984.8,560.6,821.3,1677.9,833.9,8,0.53,0.2444,0.2443
3.0,600.0,attack_train,1000,1091.6,605.6,978.0,1789.3,914.5,96,9.6,0.6147,0.6345
3.0,600.0,creative,1500,1101.3,501.6,1074.4,1843.5,930.5,225,15.0,0.5594,0.6141
3.0,600.0,factual,1500,763.2,366.9,621.0,1427.9,602.6,700,46.67,0.9681,0.8132
3.0,600.0,neutral,2000,912.9,345.5,765.4,1739.3,754.4,721,36.05,0.7851,0.7259
3.0,600.0,test,1500,1056.0,601.3,941.5,1705.4,881.8,147,9.8,0.6383,0.646
3.0,600.0,val,1500,944.3,538.8,785.4,1643.1,784.8,292,19.47,0.7651,0.7191
5.0,1000.0,attack_train,1000,1109.8,614.0,1011.4,1796.2,929.3,495,49.5,0.9904,0.8482
5.0,1000.0,creative,1500,1185.0,609.7,1132.5,1869.4,1002.1,640,42.67,0.8837,0.8179
5.0,1000.0,factual,1500,770.5,382.9,626.4,1445.6,606.8,1158,77.2,1.0,0.9377
5.0,1000.0,neutral,2000,966.0,391.4,809.8,1789.3,798.7,1208,60.4,1.0,0.8742
5.0,1000.0,test,1500,1058.7,599.2,943.9,1719.3,883.3,823,54.87,1.0,0.8712
5.0,1000.0,val,1500,936.8,537.4,775.1,1635.0,776.0,1004,66.93,1.0,0.9067
