quantity,arm,value,lo95,hi95,n,single_order,reading
"D1 selection gain, order-averaged",sel_n64,0.1065,0.084,0.1295,500,0.103,SURVIVES
"D2 metered gain, order-averaged",metered_k10,0.039,0.013,0.0645,500,0.099,SURVIVES
"D3 difference of gains, paired",sel_n64 - metered_k10,0.0675,0.033,0.102,500,0.004,REVERSAL CONFIRMED
"D4 memfree gain, order-averaged",memfree,0.272,0.247,0.2965,500,0.364,SURVIVES
"D5 memfree minus selection, paired",memfree - sel_n64,0.1655,0.132,0.2,500,,INCUMBENT WINS
order consistency,sel_n64,0.238,,,500,,UNUSABLE
order consistency,sel_n1,0.254,,,500,,UNUSABLE
order consistency,metered_k10,0.346,,,500,,UNUSABLE
order consistency,anchor_k0,0.244,,,500,,UNUSABLE
order consistency,memfree,0.412,,,500,,UNUSABLE
