prompt_id,n_aliases,s_anchor_nats,s_risky_nats,s_perm_nats
tqa_0131,3,4.216212,1.068010,28.724632
tqa_0132,2,13.548184,0.152508,22.444166
tqa_0133,4,7.756513,5.184305,40.196072
tqa_0134,2,34.819740,10.613055,15.056990
tqa_0135,5,8.047874,5.519126,16.853567
tqa_0136,7,17.625946,17.775707,22.899708
tqa_0137,2,9.598824,0.033070,11.059227
tqa_0138,5,10.656457,16.274639,13.918977
tqa_0139,14,0.926667,0.163084,27.186470
tqa_0140,6,4.365784,0.521878,26.526773
tqa_0141,9,10.969587,3.878276,15.976532
tqa_0142,3,5.352170,0.263719,11.048084
tqa_0143,5,15.800292,3.555612,9.446584
tqa_0144,8,0.812486,0.428946,14.630442
tqa_0145,11,8.332575,0.596601,4.681074
tqa_0146,3,4.429408,0.021224,33.398178
tqa_0147,5,5.539802,2.735390,13.974044
tqa_0148,100,2.979154,0.281468,20.903383
tqa_0149,2,4.838140,0.012783,28.824863
tqa_0150,2,10.762459,0.000054,21.053522
tqa_0151,13,9.284113,2.288446,20.758698
tqa_0152,15,10.031586,5.485891,7.986852
tqa_0153,22,0.150786,2.449939,26.820118
tqa_0154,10,1.742766,0.111058,30.844275
tqa_0155,8,9.395699,5.478792,32.488503
tqa_0156,4,9.212631,0.336647,14.618999
tqa_0157,60,0.229421,0.000818,44.724598
tqa_0158,2,20.649057,0.123668,19.849628
tqa_0159,22,0.906374,0.024734,12.714477
tqa_0160,29,5.726466,6.903170,10.035294
tqa_0161,31,0.497864,0.000407,20.049427
tqa_0162,32,1.214138,0.195186,31.604509
tqa_0163,4,13.219303,2.378715,20.026634
tqa_0164,30,10.262644,2.368132,17.229788
tqa_0165,5,14.178192,2.882880,15.459606
tqa_0166,37,5.787766,3.182909,18.551340
tqa_0167,3,3.045025,7.665827,27.377867
tqa_0168,11,3.406715,0.044885,7.497374
tqa_0169,8,7.469541,0.047324,4.414857
tqa_0170,36,1.661939,2.901262,26.497789
tqa_0171,6,9.225397,0.965466,10.015944
tqa_0172,9,5.804332,0.206275,7.197408
tqa_0173,4,9.375283,0.057287,12.699726
tqa_0174,10,5.363063,2.849847,13.430860
tqa_0175,26,3.083655,0.253851,6.874919
tqa_0176,51,2.465204,0.000066,19.461027
tqa_0177,6,6.118736,5.471750,19.279488
tqa_0178,34,6.202088,1.559677,21.210899
tqa_0179,7,11.857489,0.005920,15.219918
tqa_0180,2,5.156852,0.016084,15.974494
tqa_0181,4,4.464232,0.312795,21.468306
tqa_0182,38,4.386622,0.010881,22.901613
tqa_0183,4,3.382284,0.090361,19.239115
tqa_0184,57,5.462083,3.605533,24.746719
tqa_0185,4,10.885370,0.007251,43.215809
tqa_0186,47,21.762173,8.700946,22.140507
tqa_0187,4,5.773139,0.705760,21.884203
tqa_0188,22,0.234976,0.057406,18.094593
tqa_0189,18,1.344277,2.018038,9.210048
tqa_0190,29,3.004626,0.142016,17.965853
tqa_0191,6,1.109138,0.010534,31.099049
tqa_0192,2,5.976617,0.588451,11.017303
tqa_0193,2,3.858538,1.319413,47.048584
tqa_0194,2,16.313362,5.469942,26.450356
tqa_0195,2,3.684520,6.378837,14.897680
tqa_0196,39,4.893661,0.021464,12.227829
tqa_0197,7,1.612592,0.637047,16.235685
tqa_0198,27,1.814157,0.007040,10.596703
tqa_0199,18,2.874546,0.018007,7.905768
tqa_0200,14,6.905777,0.008640,17.096632
tqa_0201,25,8.438304,3.263994,21.445301
tqa_0202,3,5.664072,1.032859,14.499389
tqa_0203,14,5.018339,0.001308,20.520214
tqa_0204,2,5.299750,9.587618,19.327366
tqa_0205,28,1.586928,2.400504,19.362944
tqa_0206,29,0.225505,0.004751,26.297161
tqa_0207,8,8.577091,5.513901,22.281021
tqa_0208,28,2.058135,2.025744,22.289068
tqa_0209,26,1.375050,0.055806,25.940630
tqa_0210,20,0.102804,0.008988,29.494804
tqa_0211,3,0.005380,0.000748,27.571791
tqa_0212,14,2.521321,0.846982,15.194028
tqa_0213,15,0.024169,0.000168,36.426140
tqa_0214,5,4.997214,4.696189,28.981544
tqa_0215,14,0.084751,0.060262,30.690296
tqa_0216,8,1.030474,5.777308,29.205288
tqa_0217,60,0.833708,0.087701,30.864649
tqa_0218,18,5.900813,0.520562,23.118095
tqa_0219,41,4.366998,0.457534,18.288607
