candidate,alpha,n_pairs,spearman,exact_two_sided_p,exact,n_families,spearman_family,exact_two_sided_p_family
risky,2.0,9,0.35,0.35858,True,5,0.5,0.45
risky,4.0,9,0.4167,0.26958,True,5,0.9,0.08333
risky,8.0,9,0.4833,0.1938,True,5,0.9,0.08333
anchor,2.0,9,-0.4833,0.1938,True,5,-0.3,0.68333
anchor,4.0,9,-0.1,0.80998,True,5,0.0,1.0
anchor,8.0,9,0.0167,0.98157,True,5,0.0,1.0
gap,2.0,9,-0.4833,0.1938,True,5,-0.3,0.68333
gap,4.0,9,-0.1,0.80998,True,5,0.0,1.0
gap,8.0,9,0.0167,0.98157,True,5,0.0,1.0
F,2.0,9,-0.0833,0.84318,True,5,-0.1,0.95
F,4.0,9,-0.45,0.22982,True,5,-0.4,0.51667
F,8.0,9,-0.5333,0.14753,True,5,-0.4,0.51667
params,2.0,9,-0.35,0.35858,True,5,-0.3,0.68333
params,4.0,9,-0.3,0.43662,True,5,-0.3,0.68333
params,8.0,9,-0.2333,0.55171,True,5,-0.3,0.68333
ntok,2.0,9,-0.4833,0.1938,True,5,-0.3,0.68333
ntok,4.0,9,-0.1167,0.77563,True,5,0.3,0.68333
ntok,8.0,9,-0.0667,0.88009,True,5,0.3,0.68333
