k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.4157,1.33,,,
0.5,100,0,0,0.0,0.5105,0.92,,,
1,100,0,0,0.0016,0.5991,0.7,,,
3,100,5.0,44.0,0.9445,0.9848,0.5,,,
5,100,60.0,77.0,0.9978,0.9989,0.32,,,
10,100,92.0,96.0,0.9999,0.9999,0.08,,,
20,100,100,100,1.0,1.0,0,,,
