prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.07.49,casino_royale,0.0,0.2122,0.3568,0.8086,0.8918,11,201,0.7033,68,0.836,0.7033,0.836,0.7033,68,0.836,0.7033,0.836,0.8086,143,0.8918,0.8086,0.8918,0.8086,143,0.8918,0.8086,0.8918
bookmia.07.53,casino_royale,0.75,0.8548,0.4933,0.7642,0.8579,0,253,0.1038,22,0.3065,0.1038,0.3065,0.75,159,0.8548,0.75,0.8548,0.75,159,0.8548,0.7594,0.8548,0.75,159,0.8548,0.7642,0.8579
bookmia.07.54,casino_royale,0.7854,0.8798,0.4752,0.7945,0.8798,0,221,0.3379,50,0.4635,0.3379,0.4635,0.6027,132,0.7417,0.6027,0.7417,0.7854,172,0.8798,0.79,0.8798,0.7854,172,0.8798,0.7945,0.8798
bookmia.07.55,casino_royale,0.2598,0.3794,0.1556,0.5588,0.64,0,237,0.1716,35,0.3069,0.1716,0.3069,0.1716,35,0.3069,0.1716,0.3324,0.4559,42,0.6016,0.4559,0.6016,0.1716,22,0.2944,0.5588,0.64
bookmia.07.56,casino_royale,0.7612,0.8366,0.6151,0.8308,0.9076,117,253,0.801,161,0.8895,0.801,0.8895,0.801,161,0.8895,0.801,0.8895,0.801,161,0.8895,0.8308,0.9076,0.801,161,0.8895,0.8308,0.9076
bookmia.07.57,casino_royale,0.7295,0.8229,0.6368,0.7681,0.8689,0,245,0.6812,59,0.7751,0.6812,0.7751,0.7681,159,0.8689,0.7681,0.8689,0.7681,159,0.8689,0.7681,0.8689,0.7681,159,0.8689,0.7681,0.8689
bookmia.07.59,casino_royale,0.5837,0.687,0.1739,0.7828,0.8593,0,152,0.1357,30,0.3402,0.1357,0.3402,0.2308,51,0.4051,0.2353,0.4397,0.7738,84,0.8571,0.7738,0.8571,0.7738,84,0.8571,0.7828,0.8593
bookmia.07.61,casino_royale,0.0,0.1341,0.4759,0.7861,0.8771,0,249,0.6716,120,0.7797,0.6716,0.7797,0.7861,120,0.8771,0.7861,0.8771,0.7811,157,0.8771,0.7861,0.8771,0.7811,157,0.8771,0.7861,0.8771
bookmia.07.62,casino_royale,0.4524,0.5574,0.3855,0.7667,0.8649,0,222,0.7476,50,0.8194,0.7476,0.8194,0.7476,50,0.8194,0.7476,0.8194,0.7619,160,0.8649,0.7619,0.8649,0.7619,160,0.8649,0.7667,0.8649
bookmia.07.63,casino_royale,0.2222,0.3415,0.3301,0.8182,0.8975,23,215,0.404,80,0.5249,0.404,0.5249,0.8182,162,0.8975,0.8182,0.8975,0.8182,162,0.8975,0.8182,0.8975,0.8182,162,0.8975,0.8182,0.8975
bookmia.07.66,casino_royale,0.2817,0.366,0.5446,0.7887,0.8789,0,254,0.4366,93,0.593,0.4366,0.593,0.784,167,0.8789,0.784,0.8789,0.784,167,0.8789,0.784,0.8789,0.784,167,0.8789,0.7887,0.8789
bookmia.07.70,casino_royale,0.2245,0.3362,0.1165,0.5612,0.6531,0,89,0.0,19,0.2369,0.0,0.2369,0.4694,42,0.5706,0.4694,0.5706,0.5612,42,0.6531,0.5612,0.6531,0.5612,42,0.6531,0.5612,0.6531
bookmia.07.72,casino_royale,0.7704,0.8678,0.3746,0.7755,0.8646,0,239,0.4133,78,0.5527,0.4133,0.5527,0.5459,40,0.6647,0.5459,0.6647,0.7296,89,0.8357,0.7296,0.8357,0.7755,135,0.8646,0.7755,0.8646
bookmia.07.73,casino_royale,0.8107,0.8954,0.6087,0.8252,0.8954,59,245,0.733,119,0.8194,0.733,0.8194,0.8107,167,0.8954,0.8155,0.8954,0.8107,167,0.8954,0.8155,0.8954,0.8107,167,0.8954,0.8252,0.8954
bookmia.07.77,casino_royale,0.1699,0.3198,0.5506,0.7961,0.8757,0,229,0.7767,160,0.8743,0.7767,0.8743,0.7767,160,0.8743,0.7767,0.8743,0.7767,160,0.8743,0.7961,0.8757,0.7767,160,0.8743,0.7961,0.8757
bookmia.07.80,casino_royale,0.7756,0.8681,0.4847,0.7659,0.8619,0,253,0.678,73,0.8245,0.678,0.8245,0.7561,88,0.8508,0.7561,0.8508,0.761,89,0.8564,0.761,0.8587,0.7659,90,0.8595,0.7659,0.8619
