prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.2414,0.0,0.0,0.0952,0,0,0.0,2,0.0952,0.0,0.0952
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,1.0,0.648,0.0,0.0,0.1053,0,0,0.0,2,0.1053,0.0,0.1053
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.4545,0.3093,0.0,0.0,0.078,0,0,0.0,1,0.078,0.0,0.078
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.2255,0.0,0.0,0.1096,0,0,0.0,1,0.1096,0.0,0.1096
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.8824,0.5868,0.0,0.0,0.1151,0,0,0.0,2,0.1151,0.0,0.1151
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,1.0,0.5346,0.0,0.0,0.1296,0,0,0.0,1,0.1296,0.0,0.1296
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.199,0.0,0.0,0.0937,0,0,0.0,1,0.0937,0.0,0.0937
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,1.0,0.4685,0.0,0.0,0.1137,0,0,0.0,1,0.1137,0.0,0.1137
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.1413,0.0,0.0,0.0731,0,0,0.0,1,0.0731,0.0,0.0731
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.181,0.0,0.0,0.125,0,0,0.0,2,0.125,0.0,0.125
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,1.0,0.4977,0.0,0.0,0.1033,0,0,0.0,1,0.1033,0.0,0.1033
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,1.0,0.6117,0.0,0.0,0.0952,0,0,0.0,2,0.0952,0.0,0.0952
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.7424,0.5778,0.0,0.0,0.0664,0,0,0.0,2,0.0664,0.0,0.0664
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.0741,0.0,0.0,0.0594,0,0,0.0,2,0.0594,0.0,0.0594
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.2596,0.0,0.0,0.1238,0,0,0.0,1,0.1238,0.0,0.1238
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.0,0.2451,0.0,0.0,0.0829,0,0,0.0,2,0.0829,0.0,0.0829
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.537,0.6747,0.0,0.0,0.0652,0,0,0.0,1,0.0652,0.0,0.0652
bookmia.17.33,harry_potter_and_the_sorcerer's_stone,1.0,0.5727,0.0,0.0,0.1053,0,0,0.0,1,0.1053,0.0,0.1053
bookmia.17.35,harry_potter_and_the_sorcerer's_stone,0.0,0.1546,0.0,0.0,0.0722,0,0,0.0,1,0.0722,0.0,0.0722
bookmia.17.38,harry_potter_and_the_sorcerer's_stone,0.0,0.2857,0.0,0.0,0.0935,0,0,0.0,2,0.0935,0.0,0.0935
