author,died,translated,status,quotes
Cassandra Clare,,0,protected,87
J.K. Rowling,,0,protected,70
Roy T. Bennett,,0,protected,54
Oscar Wilde,1900,0,public_domain,50
Mark Twain,1910,0,public_domain,42
John Green,,0,protected,41
Albert Einstein,1955,0,excluded,32
Nicholas Sparks,,0,protected,32
C.S. Lewis,1963,0,protected,28
Paulo Coelho,,0,protected,26
Dr. Seuss,1991,0,protected,25
Suzanne Collins,,0,protected,25
Rick Riordan,,0,protected,21
William Shakespeare,1616,0,public_domain,21
Chuck Palahniuk,,0,protected,19
Friedrich Nietzsche,1900,1,excluded,19
J.R.R. Tolkien,1973,0,protected,19
Jane Austen,1817,0,public_domain,19
Marilyn Monroe,1962,0,protected,18
Lemony Snicket,,0,protected,17
Maya Angelou,2014,0,protected,17
Ralph Waldo Emerson,1882,0,public_domain,17
Stephen Chbosky,,0,protected,16
Anais Nin,1977,0,protected,15
Mahatma Gandhi,1948,0,excluded,15
Sarah Dessen,,0,protected,15
Terry Pratchett,2015,0,protected,15
F. Scott Fitzgerald,1940,0,excluded,14
Haruki Murakami,,0,protected,14
Neil Gaiman,,0,protected,14
Douglas Adams,2001,0,protected,13
George Orwell,1950,0,excluded,13
Sylvia Plath,1963,0,protected,13
Markus Zusak,,0,protected,12
Rumi,1273,1,excluded,12
Stephen King,,0,protected,12
Albert Camus,1960,0,protected,11
Ernest Hemingway,1961,0,protected,11
Kurt Vonnegut,2007,0,protected,11
Leo Tolstoy,1910,1,excluded,11
Martin Luther King Jr.,1968,0,protected,11
Robert Frost,1963,0,protected,11
Veronica Roth,,0,protected,11
Charles Dickens,1870,0,public_domain,10
George R.R. Martin,,0,protected,10
John Lennon,1980,0,protected,10
A.A. Milne,1956,0,protected,9
Antoine de Saint-ExupÃ©ry,1944,0,excluded,9
Ray Bradbury,2012,0,protected,9
Richelle Mead,,0,protected,9
Virginia Woolf,1941,0,excluded,9
Bob Marley,1981,0,protected,8
Charles Bukowski,1994,0,protected,8
Edgar Allan Poe,1849,0,public_domain,8
Harper Lee,2016,0,protected,8
Jonathan Safran Foer,,0,protected,8
Lewis Carroll,1898,0,public_domain,8
Mae West,1980,0,protected,8
Sarah J. Maas,,0,protected,8
Abraham Lincoln,1865,0,public_domain,7
Anne Frank,1945,0,excluded,7
Becca Fitzpatrick,,0,protected,7
Charlotte BrontÃ«,1855,0,public_domain,7
Elizabeth Gilbert,,0,protected,7
Fyodor Dostoevsky,1881,1,excluded,7
George Bernard Shaw,1950,0,excluded,7
Mother Teresa,1997,0,protected,7
Stephenie Meyer,,0,protected,7
Steve Maraboli,,0,protected,7
Eleanor Roosevelt,1962,0,protected,6
George Carlin,2008,0,protected,6
Groucho Marx,1977,0,protected,6
J.M. Barrie,1937,0,excluded,6
Jodi Picoult,,0,protected,6
Lao Tzu,-500,1,excluded,6
Lauren Oliver,,0,protected,6
Mitch Albom,,0,protected,6
Plato,-347,1,excluded,6
Voltaire,1778,1,excluded,6
Winston S. Churchill,1965,0,protected,6
Aristotle,-322,1,excluded,5
Audrey Hepburn,1993,0,protected,5
Bill Watterson,,0,protected,5
C. JoyBell C.,,0,protected,5
Franz Kafka,1924,1,excluded,5
Isaac Asimov,1992,0,protected,5
Kahlil Gibran,1931,0,excluded,5
Patrick Rothfuss,,0,protected,5
Victor Hugo,1885,1,excluded,5
Aldous Huxley,1963,0,protected,4
Ayn Rand,1982,0,protected,4
Benjamin Franklin,1790,0,public_domain,4
Carl Sagan,1996,0,protected,4
Charles M. Schulz,2000,0,protected,4
Christopher Paolini,,0,protected,4
Coco Chanel,1971,0,protected,4
Dalai Lama XIV,,0,protected,4
E.E. Cummings,1962,0,protected,4
G.K. Chesterton,1936,0,excluded,4
Helen Keller,1968,0,protected,4
J.D. Salinger,2010,0,protected,4
Khaled Hosseini,,0,protected,4
Leigh Bardugo,,0,protected,4
Madeline Miller,,0,protected,4
Marcus Aurelius,180,1,excluded,4
Margaret Atwood,,0,protected,4
Milan Kundera,2023,0,protected,4
Pablo Picasso,1973,0,protected,4
Robert Louis Stevenson,1894,0,public_domain,4
Shel Silverstein,1999,0,protected,4
Taylor Swift,,0,protected,4
Woody Allen,,0,protected,4
Agatha Christie,1976,0,protected,3
Anonymous,,0,excluded,3
Arthur Conan Doyle,1930,0,excluded,3
Barbara Kingsolver,,0,protected,3
Bertrand Russell,1970,0,protected,3
Carlos Ruiz ZafÃ³n,2020,0,protected,3
Dan Brown,,0,protected,3
Edna St. Vincent Millay,1950,0,excluded,3
Elie Wiesel,2016,0,protected,3
Emily BrontÃ«,1848,0,public_domain,3
Emily Dickinson,1886,0,public_domain,3
Frank Zappa,1993,0,protected,3
Gabriel GarcÃ­a MÃ¡rquez,2014,0,protected,3
Henry David Thoreau,1862,0,public_domain,3
Jack Kerouac,1969,0,protected,3
James Baldwin,1987,0,protected,3
Jay Asher,,0,protected,3
John Muir,1914,0,public_domain,3
Jorge Luis Borges,1986,0,protected,3
Laurie Halse Anderson,,0,protected,3
Leonardo da Vinci,1519,1,excluded,3
Louisa May Alcott,1888,0,public_domain,3
Mary Oliver,2019,0,protected,3
Nelson Mandela,2013,0,protected,3
Nicole Krauss,,0,protected,3
Rainbow Rowell,,0,protected,3
S.E. Hinton,,0,protected,3
Stephanie Perkins,,0,protected,3
T.S. Eliot,1965,0,protected,3
Tahereh Mafi,,0,protected,3
Toni Morrison,2019,0,protected,3
W.C. Fields,1946,0,excluded,3
Walt Disney,1966,0,protected,3
Walt Whitman,1892,0,public_domain,3
William Blake,1827,0,public_domain,3
William Faulkner,1962,0,protected,3
