point,run,n_grid,k_minus1_recall,k_zero_recall,entered,s_x,onset_lo,onset_hi,onset,ratio,grid
seed=1,output/phase5/fineb_pleias_s1,14,0.1581,0.0,True,3.0481,3.2,3.6,3.2154,1.0549,1.2:0.000 1.6:0.000 1.9:0.000 2.1:0.000 2.3:0.000 2.5:0.000 2.7:0.000 2.9:0.000 3.2:0.010 3.6:0.020 4.2:0.051 4.6:0.047 5.3:0.053 6.6:0.072
seed=2,output/phase5/fineb_pleias_s2,14,0.2045,0.0,True,3.0481,3.2,3.6,3.239,1.0626,1.2:0.000 1.6:0.000 1.9:0.000 2.1:0.002 2.3:0.002 2.5:0.002 2.7:0.002 2.9:0.002 3.2:0.010 3.6:0.014 4.2:0.032 4.6:0.034 5.3:0.038 6.6:0.059
seed=3,output/phase5/fineb_pleias_s3,14,0.2391,0.0,True,3.0481,2.9,3.2,2.9497,0.9677,1.2:0.000 1.6:0.000 1.9:0.000 2.1:0.000 2.3:0.000 2.5:0.000 2.7:0.002 2.9:0.007 3.2:0.026 3.6:0.029 4.2:0.035 4.6:0.030 5.3:0.025 6.6:0.048
seed=0 (feat-120),output/phase5/fineb_pleias12b_full,14,0.1504,0.0,True,3.0481,3.6,4.2,4.0071,1.3146,1.2:0.000 1.6:0.000 1.9:0.000 2.1:0.000 2.3:0.000 2.5:0.001 2.7:0.001 2.9:0.000 3.2:0.006 3.6:0.006 4.2:0.012 4.6:0.026 5.3:0.031 6.6:0.040
