quantity,arm,value,lo95,hi95,n,single_order,reading
"D1 selection gain, order-averaged",sel_n64,0.1975,0.163,0.2325,500,0.203,SURVIVES
"D2 metered gain, order-averaged",metered_k10,0.1185,0.075,0.161,500,0.122,SURVIVES
"D3 difference of gains, paired",sel_n64 - metered_k10,0.079,0.0265,0.1325,500,0.081,REVERSAL CONFIRMED
order consistency,sel_n64,0.79,,,500,,STABLE
order consistency,sel_n1,0.822,,,500,,STABLE
order consistency,metered_k10,0.848,,,500,,STABLE
order consistency,anchor_k0,0.808,,,500,,STABLE
