decoder,k,judge,n_judged,loss_pct,utility,vacuous_pct,z_loss_vs_anchor,z_utility_vs_anchor,z_loss_vs_null,z_utility_vs_null
KL,0.5,Qwen/Qwen2.5-7B-Instruct,600,59.8,0.3335,0.0,-1.03,-0.42,4.47,5.52
KL,1.0,Qwen/Qwen2.5-7B-Instruct,600,52.3,0.4195,43.9,-3.66,-3.7,1.95,2.34
KL,1.5,Qwen/Qwen2.5-7B-Instruct,600,51.5,0.4365,98.9,-3.94,-4.31,1.69,1.73
KL,2.0,Qwen/Qwen2.5-7B-Instruct,600,51.3,0.4275,100.0,-4.02,-4.0,1.62,2.06
KL,2.5,Qwen/Qwen2.5-7B-Instruct,600,48.0,0.4565,100.0,-5.18,-5.11,0.53,1.04
KL,3.0,Qwen/Qwen2.5-7B-Instruct,600,47.5,0.469,100.0,-5.36,-5.55,0.36,0.59
KL,5.0,Qwen/Qwen2.5-7B-Instruct,600,45.7,0.4915,100.0,-6.0,-6.39,-0.23,-0.19
KL,10.0,Qwen/Qwen2.5-7B-Instruct,600,43.0,0.5015,100.0,-6.97,-6.83,-1.13,-0.54
KL,20.0,Qwen/Qwen2.5-7B-Instruct,600,44.8,0.4825,100.0,-6.32,-6.11,-0.53,0.12
anchor only,0.0,Qwen/Qwen2.5-7B-Instruct,600,62.7,0.323,,0.0,-0.0,5.47,5.87
pathwise,0.5,Qwen/Qwen2.5-7B-Instruct,600,60.7,0.335,0.0,-0.71,-0.47,4.78,5.43
pathwise,1.0,Qwen/Qwen2.5-7B-Instruct,600,50.8,0.4285,43.9,-4.19,-4.05,1.46,2.03
pathwise,3.0,Qwen/Qwen2.5-7B-Instruct,600,51.7,0.435,100.0,-3.87,-4.26,1.75,1.78
pathwise,5.0,Qwen/Qwen2.5-7B-Instruct,600,49.8,0.4495,100.0,-4.54,-4.81,1.12,1.28
pathwise,10.0,Qwen/Qwen2.5-7B-Instruct,600,45.7,0.489,100.0,-6.0,-6.3,-0.23,-0.1
pathwise,20.0,Qwen/Qwen2.5-7B-Instruct,600,41.5,0.506,100.0,-7.52,-7.05,-1.63,-0.71
renyi a=1,3.0,Qwen/Qwen2.5-7B-Instruct,150,54.0,0.4035,100.0,-1.92,-1.93,1.64,1.91
renyi a=2,3.0,Qwen/Qwen2.5-7B-Instruct,150,58.0,0.3735,100.0,-1.05,-1.21,2.52,2.61
renyi a=4,3.0,Qwen/Qwen2.5-7B-Instruct,150,56.0,0.397,100.0,-1.49,-1.76,2.08,2.04
renyi a=8,3.0,Qwen/Qwen2.5-7B-Instruct,150,62.7,0.3365,100.0,0.0,-0.33,3.59,3.51
risky only (null),-1.0,Qwen/Qwen2.5-7B-Instruct,500,46.4,0.486,,-5.47,-5.87,0.0,-0.0
