k,steps_active,steps_total,n_trajectories,activity,abs_dist_to_target
0.1,6287,9541,80,0.6589456,0.5788656
0.3,6181,10494,80,0.58900324,0.50892324
1.0,818,11263,80,0.07262719,0.00745281
3.0,77,12764,80,0.00603259,0.07404741
10.0,5,15005,80,0.00033322,0.07974678
