pair,alpha,published_k,F,k_matched,nats_per_window,window_factor,log10_factor
Comma-7B,2.0,0.5,0.8364,0.8478,9.3696,11726.3,4.0692
Comma-7B,2.0,0.75,0.9068,1.2867,8.9268,7531.28,3.8769
Comma-7B,2.0,1.0,0.9441,1.6797,8.3592,4269.12,3.6303
Comma-7B,2.0,1.5,0.9773,2.4557,6.5895,727.404,2.8618
Comma-7B,2.0,2.0,0.9899,3.3473,4.2492,70.0513,1.8454
Comma-7B,2.0,2.5,0.9952,3.9834,3.4007,29.9842,1.4769
Comma-7B,2.0,3.0,0.9976,4.9561,1.7195,5.58174,0.7468
Comma-7B,2.0,4.0,0.9993,6.5976,0.2223,1.24899,0.0966
Comma-7B,2.0,5.5,0.9999,9.2995,-0.6343,0.530306,-0.2755
Comma-7B,2.0,7.5,1.0,14.0,-0.4597,0.631499,-0.1996
Comma-7B,2.0,10.0,1.0,14.0,-0.054,0.947395,-0.0235
Comma-7B,2.0,14.0,1.0,14.0,0.0344,1.03496,0.0149
Comma-7B,4.0,0.5,0.8364,1.2481,16.5018,14677300.0,7.1666
Comma-7B,4.0,0.75,0.9068,1.7836,14.6394,2279330.0,6.3578
Comma-7B,4.0,1.0,0.9441,2.3036,12.1442,187995.0,5.2741
Comma-7B,4.0,1.5,0.9773,3.3658,7.2052,1346.41,3.1292
Comma-7B,4.0,2.0,0.9899,4.317,4.1282,62.0654,1.7928
Comma-7B,4.0,2.5,0.9952,5.2141,2.0105,7.46674,0.8731
Comma-7B,4.0,3.0,0.9976,6.1139,0.7742,2.16876,0.3362
Comma-7B,4.0,4.0,0.9993,7.8503,-0.8415,0.431085,-0.3654
Comma-7B,4.0,5.5,0.9999,9.9952,-0.8665,0.420409,-0.3763
Comma-7B,4.0,7.5,1.0,14.0,-0.439,0.644695,-0.1906
Comma-7B,4.0,10.0,1.0,14.0,-0.0334,0.967193,-0.0145
Comma-7B,4.0,14.0,1.0,14.0,0.055,1.05658,0.0239
Comma-7B,8.0,0.5,0.8364,1.5881,17.7118,49221400.0,7.6922
Comma-7B,8.0,0.75,0.9068,2.2785,13.018,450441.0,5.6536
Comma-7B,8.0,1.0,0.9441,2.9089,9.1011,8965.53,3.9526
Comma-7B,8.0,1.5,0.9773,4.0574,3.9487,51.8653,1.7149
Comma-7B,8.0,2.0,0.9899,5.1953,0.7378,2.09123,0.3204
Comma-7B,8.0,2.5,0.9952,6.1907,-0.5528,0.575321,-0.2401
Comma-7B,8.0,3.0,0.9976,7.0812,-1.3574,0.257319,-0.5895
Comma-7B,8.0,4.0,0.9993,8.8717,-1.5848,0.204987,-0.6883
Comma-7B,8.0,5.5,0.9999,11.5921,-1.0716,0.342468,-0.4654
Comma-7B,8.0,7.5,1.0,14.0,-0.4286,0.651424,-0.1861
Comma-7B,8.0,10.0,1.0,14.0,-0.023,0.977288,-0.01
Comma-7B,8.0,14.0,1.0,14.0,0.0654,1.06761,0.0284
KL3M-1.7B,2.0,0.5,0.5651,0.8121,5.0078,149.571,2.1748
KL3M-1.7B,2.0,0.75,0.6599,1.2088,6.0422,420.821,2.6241
KL3M-1.7B,2.0,1.0,0.7298,1.5712,6.4583,637.968,2.8048
KL3M-1.7B,2.0,1.5,0.8249,2.3106,6.2058,495.639,2.6952
KL3M-1.7B,2.0,2.0,0.8845,2.9883,5.5537,258.18,2.4119
KL3M-1.7B,2.0,2.5,0.9231,3.6799,4.5996,99.4474,1.9976
KL3M-1.7B,2.0,3.0,0.9487,4.2944,3.8371,46.3896,1.6664
KL3M-1.7B,2.0,4.0,0.9782,5.387,2.5212,12.4433,1.0949
KL3M-1.7B,2.0,5.5,0.9945,7.3034,0.5664,1.76185,0.246
KL3M-1.7B,2.0,7.5,0.9992,9.5231,0.1825,1.20019,0.0792
KL3M-1.7B,2.0,10.0,1.0,13.8532,-0.0474,0.953672,-0.0206
KL3M-1.7B,2.0,14.0,1.0,14.0,0.0027,1.00274,0.0012
KL3M-1.7B,4.0,0.5,0.5651,1.1862,10.4098,33181.9,4.5209
KL3M-1.7B,4.0,0.75,0.6599,1.6695,11.3607,85883.5,4.9339
KL3M-1.7B,4.0,1.0,0.7298,2.1197,11.2174,74413.3,4.8717
KL3M-1.7B,4.0,1.5,0.8249,2.9326,9.8787,19509.6,4.2902
KL3M-1.7B,4.0,2.0,0.8845,3.6817,8.1126,3336.28,3.5233
KL3M-1.7B,4.0,2.5,0.9231,4.3451,6.5883,726.545,2.8613
KL3M-1.7B,4.0,3.0,0.9487,4.9757,5.1652,175.072,2.2432
KL3M-1.7B,4.0,4.0,0.9782,6.1926,2.9101,18.3583,1.2638
KL3M-1.7B,4.0,5.5,0.9945,7.9115,0.7144,2.04289,0.3102
KL3M-1.7B,4.0,7.5,0.9992,9.7368,0.2967,1.34536,0.1288
KL3M-1.7B,4.0,10.0,1.0,13.9337,-0.0488,0.952351,-0.0212
KL3M-1.7B,4.0,14.0,1.0,14.0,0.0054,1.00543,0.0023
KL3M-1.7B,8.0,0.5,0.5651,1.4607,13.5008,730028.0,5.8633
KL3M-1.7B,8.0,0.75,0.6599,1.9755,13.6982,889282.0,5.949
KL3M-1.7B,8.0,1.0,0.7298,2.443,12.9926,439146.0,5.6426
KL3M-1.7B,8.0,1.5,0.8249,3.2823,10.9096,54698.1,4.738
KL3M-1.7B,8.0,2.0,0.8845,3.939,9.1318,9244.54,3.9659
KL3M-1.7B,8.0,2.5,0.9231,4.6741,7.0186,1117.22,3.0481
KL3M-1.7B,8.0,3.0,0.9487,5.1975,5.7401,311.096,2.4929
KL3M-1.7B,8.0,4.0,0.9782,6.5223,2.8438,17.1812,1.2351
KL3M-1.7B,8.0,5.5,0.9945,8.2793,0.7135,2.04111,0.3099
KL3M-1.7B,8.0,7.5,0.9992,9.7966,0.3562,1.42786,0.1547
KL3M-1.7B,8.0,10.0,1.0,13.9494,-0.0484,0.952733,-0.021
KL3M-1.7B,8.0,14.0,1.0,14.0,0.0067,1.00677,0.0029
KL3M-170M,2.0,0.5,0.6611,0.9761,7.2329,1384.18,3.1412
KL3M-170M,2.0,0.75,0.7526,1.4465,8.1007,3296.85,3.5181
KL3M-170M,2.0,1.0,0.8163,1.9002,8.0878,3254.58,3.5125
KL3M-170M,2.0,1.5,0.8973,2.7587,7.0258,1125.25,3.0513
KL3M-170M,2.0,2.0,0.9427,3.6394,5.0262,152.357,2.1829
KL3M-170M,2.0,2.5,0.9681,4.5359,2.9242,18.6191,1.27
KL3M-170M,2.0,3.0,0.9818,5.3037,1.4071,4.08424,0.6111
KL3M-170M,2.0,4.0,0.9931,6.9665,-0.501,0.605951,-0.2176
KL3M-170M,2.0,5.5,0.998,9.0882,-0.8365,0.433218,-0.3633
KL3M-170M,2.0,7.5,0.9996,12.0604,-0.4295,0.650816,-0.1865
KL3M-170M,2.0,10.0,1.0,13.826,-0.0701,0.932286,-0.0305
KL3M-170M,4.0,0.5,0.6611,1.6838,12.3811,238250.0,5.377
KL3M-170M,4.0,0.75,0.7526,2.3413,11.4004,89354.6,4.9511
KL3M-170M,4.0,1.0,0.8163,2.9212,9.809,18196.2,4.26
KL3M-170M,4.0,1.5,0.8973,3.9473,6.3644,580.785,2.764
