k,steps_active,steps_total,n_trajectories,activity,abs_dist_to_target
0.1,21103,27571,200,0.76540568,0.68164551
0.3,21403,31306,200,0.68367086,0.59991069
1.0,2595,33880,200,0.07659386,0.00716631
3.0,173,37868,200,0.0045685,0.07919167
10.0,6,39225,200,0.00015296,0.0836072
