k,steps_active,steps_total,n_trajectories,activity,abs_dist_to_target
1.2,11286,94390,500,0.11956775,0.03948775
1.4,7469,96302,500,0.0775581,0.0025219
1.6,4586,97248,500,0.04715778,0.03292222
2.0,2094,97918,500,0.02138524,0.05869476
2.5,922,97884,500,0.00941931,0.07066069
