k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.3449,4.83,,,
0.5,100,0,0,0.0,0.4756,1.15,,,
1,100,0,0,0.0031,0.5971,0.74,,,
3,100,28.0,70.0,0.987,0.9961,0.39,,,
5,100,76.0,86.0,0.9993,0.9994,0.21,,,
10,100,98.0,99.0,1.0,1.0,0.02,,,
20,100,100,100,1.0,1.0,0,,,
