prompt_id,novel,recall,rouge,words,block_len,n_per_block,blocks,scorer,certificate_whole_nats,certificate_window50_nats,anchor_model,rng_seed,gen_batch,score_batch,scorer_model
bookmia.01.37,a_game_of_thrones,0.0,0.1716,150,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.39,a_game_of_thrones,0.0,0.0476,136,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.41,a_game_of_thrones,0.0,0.117,153,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.42,a_game_of_thrones,0.0,0.078,154,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.43,a_game_of_thrones,0.0,0.0899,146,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.44,a_game_of_thrones,0.0,0.1693,170,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.46,a_game_of_thrones,0.0,0.0653,139,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.49,a_game_of_thrones,0.0,0.0073,70,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.51,a_game_of_thrones,0.0,0.1089,137,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.52,a_game_of_thrones,0.0,0.1465,148,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
