n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.1764,0.5882,38.22,0.3437,47.0,23.0,61.0
8,1.2044,100,0.3315,0.5882,65.84,0.5007,76.0,59.0,85.0
64,3.1745,100,0.425,0.6093,81.92,0.5918,90.0,80.0,95.0
256,4.5491,100,0.4588,0.6093,88.7,0.625,97.0,90.0,99.0
-1,,100,0.4209,0.8307,,0.5533,75.0,55.0,81.0
