n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,ge_0p01_pct
1,0.0,100,0.4611,0.6093,92.83,97.0
8,1.2044,100,0.4994,0.6093,101.89,100.0
64,3.1745,100,0.4995,0.6093,101.94,100.0
-1,,100,0.3925,0.8154,,78.0
