k,steps_active,steps_total,n_trajectories,activity,abs_dist_to_target
0.5,37447,96438,500,0.38830129,0.30822129
0.6,29107,97541,500,0.29840785,0.21832785
0.7,18377,97170,500,0.18912216,0.10904216
0.8,11442,98158,500,0.11656717,0.03648717
0.9,6822,98143,500,0.06951082,0.01056918
